Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TYROBP Causal Network WP3945	13/61	2.7363997757507228E-9	1.2915806941543412E-6	0	0	8.541673510956338	168.41295410683554	ITGAM;KCNE3;ITGB2;RNASE6;TCIRG1;PYCARD;CD4;ADAP2;BIN2;DPYD;SPP1;NCKAP1L;IL13RA1
Microglia Pathogen Phagocytosis Pathway WP3937	9/40	4.789251531204149E-7	1.1302633613641792E-4	0	0	9.01803607214429	131.22794947345253	HCK;ITGAM;NCF1;ARPC1B;ITGB2;NCF4;CYBB;NCKAP1L;SIGLEC7
Human Complement System WP2806	11/97	3.004667225987695E-5	0.00472734310222064	0	0	4.545172819866537	47.327787564989926	FCN1;FKBP2;CR1;ITGA2;ITGB2;FPR1;WAS;SPP1;F13A1;VSIG4;PRKACA
MAPK Signaling Pathway WP382	16/246	4.8259982242646147E-4	0.056946779046322456	0	0	2.6068396956514657	19.90666933274734	IL1R1;LRRK2;CACNA2D3;RRAS2;ARRB1;HSPA2;RASGRP2;DUSP10;RRAS;FGF18;CD14;PRKACA;MAP2K7;HSPA1B;MAP2K6;MAPK3
Vitamin D Receptor Pathway WP2877	13/182	6.736838249970146E-4	0.06359575307971818	0	0	2.86286859433152	20.90681265242836	LRRC25;CDKN2D;STEAP4;ITGAM;KLF4;SLC8A1;DUSP10;ALOX5;SPP1;CD14;S100A9;ABCD1;S100A8
Viral Acute Myocarditis WP4298	8/84	0.0011770739130689614	0.09259648116142498	0	0	3.81715812577536	25.745676705128787	PYCARD;DFFB;CD4;ITGB2;BAX;ITGAL;AIF1;MAPK3
Spinal Cord Injury WP2431	9/118	0.002822895843908113	0.19034383404637562	0	0	3.0569613803878948	17.944338926438327	EFNB2;VCAN;FCGR2A;IL1R1;LILRB2;LILRB3;AIF1;LTB4R;MAPK3
MAPK Cascade WP422	4/29	0.005544487024010538	0.32712473441662177	0	0	5.528297975260866	28.719238056300807	RRAS;MAP2K7;MAPK3;MAP2K6
Deregulation of Rab and Rab Effector Genes in Bladder Cancer WP2291	3/16	0.006786174399265903	0.3558971462726118	0	0	7.515030060120241	37.52155245306602	SYTL1;UNC13D;TBC1D10A
Regulation of toll-like receptor signaling pathway WP1449	9/139	0.008208299697015557	0.3874317456991343	0	0	2.5951182941422415	12.463339717084256	SIGIRR;BTK;SPP1;TLR8;CD14;MAP2K7;CTNNAL1;MAP2K6;MAPK3
Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells WP4301	3/18	0.009530092468954818	0.4089276041224249	0	0	6.68002672010688	31.084174071007013	RRAS;RRAS2;MAPK3
DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM WP3959	5/55	0.011837257246385426	0.4655987850244934	0	0	3.6436509382401168	16.165069513023667	YAP1;RASSF1;BAX;BAK1;TP53BP1
Hematopoietic Stem Cell Differentiation WP2849	5/55	0.011837257246385426	0.4297834938687632	0	0	3.6436509382401168	16.165069513023667	NFE2;SPI1;LMO2;NCKAP1L;CBFA2T3
Regulation of Apoptosis by Parathyroid Hormone-related Protein WP3872	3/22	0.016710758224010344	0.5633912772666345	0	0	5.465476407360175	22.36310381821747	GSK3A;BAX;BAK1
Glycogen Synthesis and Degradation WP500	4/40	0.01721887297349511	0.5418205362326461	0	0	4.008016032064129	16.27955603534299	HK3;PPP2CB;GSK3A;PYGL
Macrophage markers WP4146	2/9	0.019912211750142357	0.5874102466291995	0	0	8.90670229347584	34.882405519263955	CD163;CD14
Pyrimidine metabolism and related diseases WP4225	2/9	0.019912211750142357	0.5528567027098348	0	0	8.90670229347584	34.882405519263955	DPYD;TYMP
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	14/303	0.020496089760368638	0.5374530203829999	0	0	1.8518885956731945	7.199256091323989	CSF1R;PFKFB4;CSF3R;EPAS1;ITGA2;ITGB2;ITGAL;PPP2CB;GNG4;FGF18;SPP1;MET;CREB5;MAPK3
Vitamin A and Carotenoid Metabolism WP716	4/43	0.021940344052406784	0.5450443364597897	0	0	3.728387006571282	14.240306259941201	SULT1A1;RBP7;ALDH1A1;CD36
Chemokine signaling pathway WP3929	9/164	0.022136740098422415	0.5224270663227689	0	0	2.199520993205924	8.381311263044642	HCK;NCF1;CCL7;GNG4;GRK6;WAS;ARRB1;RASGRP2;MAPK3
Interleukin-11 Signaling Pathway WP2332	4/44	0.023672733930621675	0.53207287691683	0	0	3.6436509382401168	13.639757187825374	IL11;FES;ITGA2;MAPK3
Apoptosis Modulation and Signaling WP1772	6/91	0.02632803026304029	0.5648559220070463	0	0	2.6426479332290955	9.611630605068365	DFFB;IL1R1;TNFRSF10C;BAX;BAK1;MAPK3
Follicle Stimulating Hormone (FSH) signaling pathway WP2035	3/27	0.028968891579981497	0.594492035902229	0	0	4.45335114673792	15.77168883942596	GRK6;PRKACA;MAPK3
Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway WP2203	4/47	0.029356364892565164	0.5773418428871149	0	0	3.41107747409713	12.03512009367582	HCK;FES;BTK;MAPK3
Serotonin Transporter Activity WP1455	2/11	0.029437318160463032	0.555776566869542	0	0	7.2873018764802335	25.691325081900818	PPP2CB;IL1R1
Hippo-Merlin Signaling Dysregulation WP4541	7/120	0.030880706510333856	0.5606035951106761	0	0	2.338009352037408	8.130716674704882	CSF1R;ITGAM;ITGA2;ITGB2;PRKACA;ITGAL;MET
Structural Pathway of Interleukin 1 (IL-1) WP2637	4/49	0.033556365135316776	0.586614975698871	0	0	3.2718498220931655	11.10638816468971	IL1R1;MAP2K7;MAPK3;MAP2K6
MAPK  and NFkB Signalling Pathways Inhibited by Yersinia YopJ WP3849	2/12	0.0347505757360525	0.5857954195505993	0	0	6.68002672010688	22.44194481739897	RRAS;MAP2K6
Photodynamic therapy-induced AP-1 survival signaling. WP3611	4/50	0.0357808082584749	0.5823634999310398	0	0	3.2064128256513027	10.67845646968948	BAX;BAK1;MAP2K7;MAP2K6
Dopamine metabolism WP2436	2/13	0.040402734490517254	0.6356696893174715	0	0	6.16617851086789	19.78639007798208	PPP2CB;PRKACA
Osteopontin Signaling WP1434	2/13	0.040402734490517254	0.6151642154685208	0	0	6.16617851086789	19.78639007798208	SPP1;MAPK3
Integrin-mediated Cell Adhesion WP185	6/101	0.04082191477626721	0.6021232429499414	0	0	2.380999623008393	7.615713521864473	ITGAM;ITGA2;ITGB2;CAPN1;ITGAL;MAP2K6
Ras Signaling WP4223	9/184	0.041725592485047085	0.5968024137255219	0	0	1.9604426243791933	6.227621653734057	CSF1R;RASSF1;RRAS;GNG4;RRAS2;PRKACA;RASGRP2;MET;MAPK3
Myometrial Relaxation and Contraction Pathways WP289	8/156	0.04218277024226017	0.5855961045396119	0	0	2.055392836955963	6.5068463684508515	CNN2;GNG4;PKIA;GRK6;ARRB1;PRKACA;DGKZ;SLC8A1
Toll-like Receptor Signaling Pathway WP75	6/103	0.04422228412323768	0.5963690887476624	0	0	2.3347666206198805	7.281031463929472	SPP1;TLR8;CD14;MAP2K7;MAP2K6;MAPK3
TGF-beta Receptor Signaling WP560	4/54	0.045512072077792426	0.596713833908834	0	0	2.9689007644919467	9.173243280117035	BAMBI;SPP1;SKIL;MAPK3
IL-1 signaling pathway WP195	4/55	0.04815323704518734	0.6142791320359035	0	0	2.9149207505920933	8.842024163658012	IL1R1;MAP2K7;MAPK3;MAP2K6
RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway WP2018	4/55	0.04815323704518734	0.5981138917191691	0	0	2.9149207505920933	8.842024163658012	SPI1;MAP2K7;MAPK3;MAP2K6
Fluoropyrimidine Activity WP1601	3/33	0.04846676224858994	0.5865720969572936	0	0	3.6436509382401168	11.028883331885812	CDA;DPYD;TYMP
