Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA transport	23/165	2.5012926336892968E-11	7.703981311763034E-9	0	0	5.575757575757576	136.11332182735674	EIF2B5;UPF1;SEH1L;NCBP1;NCBP2;FMR1;ELAC2;NUP153;THOC5;EIF2S1;THOC7;NUP160;EEF1A1;XPO1;POM121C;XPOT;NUP85;CLNS1A;NUP50;XPO5;EIF4G3;RPP38;EIF4G2
mRNA surveillance pathway	11/91	1.665544149607846E-5	0.002564937990396083	0	0	4.835164835164835	53.200223895315965	UPF1;PPP2CB;DAZAP1;SMG1;CPSF7;CPSF6;NCBP1;NCBP2;PPP2R3C;CPSF2;PPP2R5A
SNARE interactions in vesicular transport	6/34	1.757017897903012E-4	0.01803871708513759	0	0	7.0588235294117645	61.03568736138679	GOSR1;SNAP23;STX6;STX5;VAMP4;VTI1B
RIG-I-like receptor signaling pathway	8/70	3.4979964281304013E-4	0.02693457249660409	0	0	4.571428571428571	36.380114361133536	OTUD5;MAPK8;CASP8;CHUK;CASP10;TRAF3;TRAF6;RELA
TNF signaling pathway	10/110	4.3818067237546226E-4	0.026991929418328474	0	0	3.6363636363636362	28.11956086775341	MAPK8;ITCH;CASP8;CHUK;CASP10;TRAF3;TAB3;TAB2;DNM1L;RELA
IL-17 signaling pathway	9/93	5.315212509215563E-4	0.027284757547306554	0	0	3.8709677419354835	29.18619630217689	GSK3B;MAPK8;CASP8;CHUK;TRAF3;TRAF6;TAB3;TAB2;RELA
NOD-like receptor signaling pathway	13/178	5.567615854008416E-4	0.024497509757637034	0	0	2.921348314606741	21.89075387860545	CHUK;RELA;MAPK8;CASP8;TRAF3;TRAF6;TAB3;MFN2;VDAC1;TRPM7;TAB2;TP53BP1;DNM1L
Chronic myeloid leukemia	8/76	6.132880536413942E-4	0.023611590065193675	0	0	4.2105263157894735	31.14389820774433	CHUK;SHC1;MDM2;PTPN11;SOS1;RELA;CRKL;RUNX1
Ribosome biogenesis in eukaryotes	9/101	9.684710571861477E-4	0.033143231734814836	0	0	3.564356435643564	24.735892133686864	UTP15;RBM28;UTP6;XPO1;XRN1;NOB1;NAT10;RPP38;GNL3
Terpenoid backbone biosynthesis	4/22	0.00197375099729253	0.06079153071660992	0	0	7.2727272727272725	45.293232633574625	NUS1;ICMT;HMGCR;ZMPSTE24
Ubiquitin mediated proteolysis	10/137	0.0023618459358254384	0.06613168620311227	0	0	2.91970802919708	17.659304494854837	ITCH;HERC2;FBXW11;TRAF6;UBR5;UBA3;MDM2;ANAPC4;UBA2;UBE3B
Legionellosis	6/55	0.0024347423340301366	0.06249171990677351	0	0	4.363636363636363	26.25998987211677	EEF1A1;CLK1;CASP8;SAR1B;RELA;HSPD1
Protein processing in endoplasmic reticulum	11/165	0.002976760349947125	0.0705263221372088	0	0	2.6666666666666665	15.511785868561233	MAPK8;SEC24B;SAR1B;DNAJB11;SEL1L;NGLY1;DNAJA2;DERL2;STT3B;EIF2S1;UBQLN2
Neurotrophin signaling pathway	9/119	0.0030280459398643956	0.06661701067701671	0	0	3.025210084033613	17.54572771311819	GSK3B;MAPK8;SHC1;TRAF6;FRS2;PTPN11;SOS1;RELA;CRKL
Shigellosis	6/65	0.005630401536602619	0.11561091155157378	0	0	3.6923076923076925	19.124582837483768	MAPK8;CHUK;FBXW11;ELMO2;RELA;CRKL
Hepatitis C	10/155	0.00569184592820619	0.10956803411796916	0	0	2.5806451612903225	13.338633980001294	GSK3B;PPP2CB;CASP8;CHUK;TRAF3;TRAF6;SOS1;EIF2S1;YWHAG;RELA
Citrate cycle (TCA cycle)	4/30	0.006317508693985948	0.11445839280868658	0	0	5.333333333333333	27.01029516014832	CS;IDH3B;SDHA;IDH3A
Spliceosome	9/134	0.006592968925572413	0.11281302383757241	0	0	2.6865671641791042	13.491272719094995	TCERG1;PRPF4;NCBP1;NCBP2;DDX23;DHX15;SNRPC;USP39;CDC40
