Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Membrane Trafficking_Homo sapiens_R-HSA-199991	36/420	1.3767046603642322E-10	2.1063581303572752E-7	0	0	3.4285714285714284	77.8496853040763	ARF4;COPB2;TMF1;STXBP3;SAR1B;DCTN4;CLTC;SNAP23;GOSR1;PRKAG1;MIA3;KLC1;CYTH2;TFG;AP1G1;PPP6R3;STX6;KIF13B;STX5;CD59;RAB6A;SNX5;YWHAG;NSF;SEC24B;EXOC7;RALGAPA2;VTA1;COG3;MYO5A;RAB14;KIF2A;TBC1D20;EXOC5;VAMP4;RAB3GAP1
Gene Expression_Homo sapiens_R-HSA-74160	82/1631	7.531633085284527E-10	5.761699310242663E-7	0	0	2.0110361741263025	42.245312098704545	GSK3B;SMG1;CCNK;CCNT2;PRKAG1;NAT10;USP39;RRP8;XPO1;SESN3;NOB1;CASP10;XPO5;TNPO1;RNF111;RPP38;YWHAG;ZNF562;UTP15;UPF1;NCBP1;DIS3;NCBP2;NSUN2;ELAC2;MED8;TET2;GTF3A;DICER1;BAZ1B;THOC5;THOC7;CDC40;EEF1A1;VWA9;PRPF4;XRN1;CLNS1A;NUP50;MAPKAPK5;NOTCH2;SLBP;PRKAA1;SEH1L;DDX1;DDX23;TARS;NUP160;PPP2CB;POM121C;NUP85;TDG;POLR2D;ZNF746;TP53BP2;RPRD1B;HARS;ZNF621;ZKSCAN1;DCAF13;EIF2B5;UTP6;CPSF7;TXNRD1;CPSF2;TAF11;SMARCA5;RPA1;RPL23A;NUP153;HIPK1;EIF2S1;CNOT4;PSMC6;LAS1L;XPOT;CNOT1;POLR3C;AGO1;MDM2;IARS;CDK13
SUMOylation_Homo sapiens_R-HSA-2990846	16/101	4.153157409145235E-9	2.11811027866407E-6	0	0	6.336633663366336	122.29320852594674	SEH1L;RPA1;SMC5;NUP153;NUP160;RNF168;HERC2;SENP5;POM121C;NUP85;NUP50;TDG;SP3;MDM2;UBA2;TP53BP1
Vesicle-mediated transport_Homo sapiens_R-HSA-5653656	36/492	9.775490438208547E-9	3.739125092614769E-6	0	0	2.9268292682926824	53.98064651598096	ARF4;COPB2;TMF1;STXBP3;SAR1B;DCTN4;CLTC;SNAP23;GOSR1;PRKAG1;MIA3;KLC1;CYTH2;TFG;AP1G1;PPP6R3;STX6;KIF13B;STX5;CD59;RAB6A;SNX5;YWHAG;NSF;SEC24B;EXOC7;RALGAPA2;VTA1;COG3;MYO5A;RAB14;KIF2A;TBC1D20;EXOC5;VAMP4;RAB3GAP1
Transport of Mature mRNAs Derived from Intronless Transcripts_Homo sapiens_R-HSA-159234	10/38	2.1984160842919734E-8	6.7271532179334385E-6	0	0	10.526315789473683	185.60993267968882	SLBP;SEH1L;POM121C;NCBP1;NUP85;NCBP2;NUP50;CPSF2;NUP153;NUP160
Transport of Mature Transcript to Cytoplasm_Homo sapiens_R-HSA-72202	13/74	3.3225739509525267E-8	8.472563574928944E-6	0	0	7.027027027027027	121.00499063493675	SLBP;SEH1L;NCBP1;NCBP2;CPSF2;NUP153;THOC5;CDC40;THOC7;NUP160;POM121C;NUP85;NUP50
Post-translational protein modification_Homo sapiens_R-HSA-597592	36/521	4.231894844058512E-8	9.249713016299319E-6	0	0	2.763915547024952	46.92584355551817	ARF4;COPB2;SEH1L;SAR1B;DCTN4;SEL1L;GOSR1;DERL2;SMC5;MIA3;NUP160;HERC2;SENP5;TFG;POM121C;NUP85;TDG;PPP6R3;STX5;CD59;TP53BP1;MGAT2;NSF;NUS1;SEC24B;ICMT;COG3;RPA1;NUP153;RNF168;TBC1D20;NUP50;SP3;MGAT4B;MDM2;UBA2
Transport of the SLBP Dependant Mature mRNA_Homo sapiens_R-HSA-159230	9/34	1.0674773640623306E-7	2.0415504587692074E-5	0	0	10.588235294117647	169.97079589081358	SLBP;SEH1L;POM121C;NCBP1;NUP85;NCBP2;NUP50;NUP153;NUP160
SUMO E3 ligases SUMOylate target proteins_Homo sapiens_R-HSA-3108232	14/96	1.1399056690368336E-7	1.9378396373626172E-5	0	0	5.833333333333333	93.25837580753463	SEH1L;RPA1;SMC5;NUP153;NUP160;RNF168;HERC2;POM121C;NUP85;NUP50;TDG;SP3;MDM2;TP53BP1
Metabolism of proteins_Homo sapiens_R-HSA-392499	56/1074	1.5770805814055638E-7	2.4129332895505126E-5	0	0	2.085661080074488	32.666708893736605	ARF4;SMC5;MIA3;PCMT1;HERC2;SENP5;TFG;PPP6R3;PMPCB;SLC30A7;NSF;EXOC7;DIS3;COG3;FBXW2;RNF168;EEF1A1;TBC1D20;NUP50;DNAJB11;VDAC1;EXOC5;COPB2;SEH1L;SAR1B;SHC1;DCTN4;SEL1L;GOSR1;DERL2;NUP160;HSPD1;POM121C;NUP85;TDG;STX5;CD59;TP53BP1;MGAT2;CCT8;EIF2B5;NUS1;ARFGEF2;SEC24B;ICMT;RPA1;MYO5A;RPL23A;NUP153;EIF2S1;CS;TOMM70A;SP3;MGAT4B;MDM2;UBA2
