Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Leptin signaling pathway WP2034	9/76	1.1440622676259839E-4	0.053999739031946443	0	0	4.7368421052631575	42.990418661479715	GSK3B;PRKAA1;MAPK8;CHUK;SHC1;PTPN11;SOS1;RELA;ACACA
RIG-I-like Receptor Signaling WP3865	8/60	1.1787723634814289E-4	0.027819027778161722	0	0	5.333333333333333	48.244623173280246	OTUD5;MAPK8;CASP8;CHUK;CASP10;TRAF3;TRAF6;RELA
Brain-Derived Neurotrophic Factor (BDNF) signaling pathway WP2380	12/144	2.736996416386603E-4	0.04306207695114922	0	0	3.333333333333333	27.344930837467206	NSF;MEF2A;GSK3B;PRKAA1;MAPK8;CHUK;SHC1;TRAF6;FRS2;PTPN11;EIF2S1;RELA
miRNAs involvement in the immune response in sepsis WP4329	6/37	2.850597931229215E-4	0.03363705558850474	0	0	6.486486486486487	52.9479671303958	MAPK8;CHUK;TRAF3;TRAF6;TAB2;RELA
mRNA Processing WP411	11/126	3.268937396903777E-4	0.030858769026771656	0	0	3.4920634920634916	28.026866458561347	CLK1;PRPF4;SFPQ;NCBP1;NCBP2;DDX1;CPSF2;DHX15;DICER1;CDC40;SRPK1
IL-1 signaling pathway WP195	7/55	4.2061290439478725E-4	0.033088215145723264	0	0	5.09090909090909	39.575696945256	MAPK8;CHUK;TRAF6;TAB3;PTPN11;TAB2;RELA
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway WP2036	6/42	5.788494517387503E-4	0.03903099160295574	0	0	5.7142857142857135	42.59696073410847	GSK3B;MAPK8;CASP8;CHUK;TRAF3;RELA
DNA IR-damage and cellular response via ATR WP4016	8/80	8.644652230999823E-4	0.05100344816289896	0	0	4.0	28.213597925647278	UPF1;HERC2;PRKDC;RFWD3;TDP1;RPA1;MDM2;TP53BP1
TCA Cycle (aka Krebs or citric acid cycle) WP78	4/18	8.936428005945616E-4	0.04686660020895923	0	0	8.888888888888888	62.40181701813813	CS;IDH3B;SDHA;IDH3A
NLR Proteins WP288	3/9	0.0011659135205622756	0.055031118170539406	0	0	13.333333333333332	90.05667148557625	MAPK8;CHUK;RELA
Supression of HMGB1 mediated inflammation by THBD WP4479	3/9	0.0011659135205622756	0.050028289245944914	0	0	13.333333333333332	90.05667148557625	CHUK;HMGB1;RELA
Structural Pathway of Interleukin 1 (IL-1) WP2637	6/49	0.00133183876322073	0.05238565802001538	0	0	4.897959183673469	32.4303416954645	MAPK8;CHUK;TRAF6;TAB3;TAB2;RELA
Leptin and adiponectin WP3934	3/10	0.0016347780174221294	0.059355017247941934	0	0	11.999999999999998	76.99497903613396	PRKAA1;PRKAG1;ACACA
Sterol Regulatory Element-Binding Proteins (SREBP) signalling WP1982	7/69	0.0016574183493081227	0.055878675776673846	0	0	4.057971014492754	25.981135472052998	PRKAA1;SEC24B;SAR1B;PRKAG1;HMGCR;LPIN1;ACACA
T-Cell antigen Receptor (TCR)  Signaling Pathway WP69	8/90	0.0018618353339835876	0.05858575184268355	0	0	3.5555555555555554	22.350906805556605	MAPK8;CHUK;SHC1;TRAF6;PTPN11;SOS1;RELA;CRKL
EBV LMP1 signaling WP262	4/23	0.0023425796244436227	0.06910609892108686	0	0	6.956521739130435	42.13219167446808	MAPK8;CHUK;TRAF6;RELA
RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway WP2018	6/55	0.0024347423340301366	0.06759990480366027	0	0	4.363636363636363	26.25998987211677	MAPK8;CHUK;TRAF3;TRAF6;TAB2;RELA
Regulation of toll-like receptor signaling pathway WP1449	10/139	0.0026257725233781925	0.06885359061302815	0	0	2.8776978417266186	17.10037447946605	OTUD5;MAPK8;CASP8;CHUK;TRAF3;TRAF6;TAB3;TAB2;ZMYND11;RELA
PDGF Pathway WP2526	5/39	0.002733022776620701	0.0678940395034195	0	0	5.128205128205128	30.26844634945942	MAPK8;CHUK;SHC1;PTPN11;SOS1
Prolactin Signaling Pathway WP2037	7/76	0.0028931758269408574	0.06827894951580424	0	0	3.684210526315789	21.535685972142723	GSK3B;MAPK8;SHC1;PTPN11;SOS1;YWHAG;RELA
B Cell Receptor Signaling Pathway WP23	8/97	0.002984595079747217	0.06708232750669936	0	0	3.2989690721649483	19.181166822317746	GSK3B;MAPK8;CHUK;SHC1;PTPN11;SOS1;RELA;CRKL
Toll-like Receptor Signaling Pathway WP75	8/103	0.004315240764702302	0.09258152913361303	0	0	3.106796116504854	16.918375639155997	MAPK8;CASP8;CHUK;TRAF3;TRAF6;TAB3;TAB2;RELA
TLR4 Signaling and Tolerance WP3851	4/28	0.00490889575807688	0.10073907816575162	0	0	5.7142857142857135	30.381178622804246	CHUK;TRAF3;TRAF6;TAB2
ATM Signaling Network in Development and Disease  WP3878	5/45	0.005132038577565734	0.10093009202545944	0	0	4.444444444444444	23.4322325119747	RNF20;RNF168;PRKAA1;PRKDC;TP53BP1
TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc) WP2453	3/16	0.006823799195615574	0.12883332881322204	0	0	7.5	37.40504171568808	CS;SDHA;IDH3A
IL17 signaling pathway WP2112	4/31	0.007112686652484723	0.12912261922972268	0	0	5.161290322580645	25.527097997387994	GSK3B;TRAF3;TRAF6;RELA
Toll-like Receptor Signaling WP3858	4/31	0.007112686652484723	0.1243402999989922	0	0	5.161290322580645	25.527097997387994	CHUK;TRAF3;TRAF6;RELA
IL-3 Signaling Pathway WP286	5/49	0.0073850048718756625	0.12449008212590403	0	0	4.081632653061225	20.033892666531464	MAPK8;SHC1;PTPN11;SOS1;CRKL
TNF alpha Signaling Pathway WP231	7/92	0.008258929301405017	0.1344211941470058	0	0	3.0434782608695654	14.597922726369267	MAPK8;CASP8;CHUK;FBXW11;TAB3;TAB2;SOS1
exRNA mechanism of action and biogenesis WP2805	2/6	0.0087524127649488	0.1377046275018611	0	0	13.333333333333332	63.17901162743442	XPO5;DICER1
miRNA Biogenesis WP2338	2/6	0.0087524127649488	0.13326254274373656	0	0	13.333333333333332	63.17901162743442	XPO5;DICER1
Signal transduction through IL1R WP4496	4/33	0.008894984595890918	0.13120102278939105	0	0	4.848484848484849	22.89584334369705	MAPK8;CHUK;TRAF6;RELA
Signaling of Hepatocyte Growth Factor Receptor WP313	4/34	0.009885910454645437	0.14139847680583775	0	0	4.705882352941176	21.72538692674213	MAPK8;PTPN11;SOS1;CRKL
IL-4 Signaling Pathway WP395	5/54	0.011068822496125156	0.15366130053444335	0	0	3.7037037037037033	16.680084840121786	CHUK;SHC1;PTPN11;SOS1;RELA
DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM WP3959	5/55	0.011932232343427853	0.16091467617422703	0	0	3.6363636363636362	16.103679782632323	UPF1;PRKDC;TRAF6;MDM2;TP53BP1
Hereditary leiomyomatosis and renal cell carcinoma pathway WP4206	3/20	0.012902143644594305	0.169161438895792	0	0	5.999999999999999	26.10217084452193	PRKAA1;PRKAG1;ACACA
Kit receptor signaling pathway WP304	5/59	0.015841491499778683	0.20208605372690644	0	0	3.389830508474576	14.05126351420034	MAPK8;SHC1;PTPN11;SOS1;CRKL
