"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"ADA",13.51047069296,81.0467516134775,4.30616914580705,5.20812335813526e-05,0.638352028901587,-1.05138750807113
"PRMT1",16.5040118369152,82.6308496108362,4.09577006434245,0.00010962683174805,0.638352028901587,-1.36647476319058
"IFRD2",14.8762885697626,63.7874433787286,3.82098529005573,0.000281170800898017,0.638352028901587,-1.768010992309
"EDARADD",12.6546742154905,72.4590564312618,3.78335373891185,0.00031898360937535,0.638352028901587,-1.8220079433898
"SLC39A3",9.48239222137108,62.8508793470949,3.71186948128873,0.000404593921144518,0.638352028901587,-1.923864269596
"TGFB1",18.5097612429874,92.6662073418593,3.66987170730532,0.000464684077365909,0.638352028901587,-1.98325510458283
"SRC",18.8879359845801,68.0219656364145,3.65914048899018,0.000481350562814755,0.638352028901587,-1.99837569972779
"UCK1",8.2177690156138,68.9265488670557,3.61019096503325,0.000564859602986667,0.638352028901587,-2.06705795256729
"STUB1",19.0089473415512,59.0116281954824,3.59084172694479,0.000601527677439862,0.638352028901587,-2.09407456650956
"ICAM2",17.6747519246678,70.3494638828335,3.56985472424575,0.000643852400079602,0.638352028901587,-2.12329142024464
"EPB41",12.6907173345101,84.7980598822622,3.56372446238161,0.000656739540567345,0.638352028901587,-2.13180846752349
"PDIA6",13.8139137311332,81.9933018037411,3.56097249290469,0.000662604082723832,0.638352028901587,-2.13562936779849
"TXLNA",9.6927318897612,77.878342177376,3.56004615388398,0.00066458930226637,0.638352028901587,-2.13691516516293
"MAT2A",12.1787418249847,82.3489088792331,3.55263457483843,0.000680677461006585,0.638352028901587,-2.14719631559634
"MTX1",16.4176617676865,53.4944288175599,3.54834708531717,0.000690152265873281,0.638352028901587,-2.15313857714164
"TPGS1",14.7407960263224,54.6871885224919,3.53902360229389,0.000711189728911127,0.638352028901587,-2.16604720131556
"CREB3",9.3622193726619,68.5895528980187,3.5382504414036,0.000712961335741868,0.638352028901587,-2.16711684453056
"PPIB",13.157872688858,88.5281625086402,3.51123993627581,0.000777546900643858,0.657502298594453,-2.20440566109126
"GRK5",8.99283512837475,78.7848115963276,3.46044092547423,0.000914311716286016,0.708319382123923,-2.27411124433208
"RNF31",8.21524457175584,79.5758376476093,3.45483979615111,0.000930713333058174,0.708319382123923,-2.28176262378558
"DGAT1",11.9275147524396,78.1556073737173,3.40650763050626,0.00108426838946911,0.733959026409324,-2.34749721359666
"LPCAT3",7.73561409597031,74.9672855133299,3.39886842724015,0.00111062697361642,0.733959026409324,-2.35783902816549
"ANAPC2",13.3921986644495,71.3897896846183,3.34902542669258,0.00129802908915872,0.733959026409324,-2.42498831976218
"PPP1CA",17.1462442287478,94.4712139528228,3.34563694218851,0.00131179554948451,0.733959026409324,-2.42953252219565
"APOBEC3G",12.2723254893078,90.0061246825779,3.34015572021106,0.00133435582026034,0.733959026409324,-2.43687756937945
"PES1",13.2630962307652,68.9998121903001,3.33643283748347,0.00134988678917811,0.733959026409324,-2.44186237178607
"NFE2L1",7.95783687619579,77.2168366346134,3.31239934584366,0.00145431941419106,0.733959026409324,-2.47396396487828
