Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Osteoclast differentiation	12/127	8.318914146876878E-5	0.025622255572380785	0	0	3.779527559055118	35.50637000257179	CSF1R;SPI1;NCF1;BTK;LILRB1;LILRA1;MAP2K7;LILRA2;FCGR2C;OSCAR;LILRA5;MAPK3
Fc gamma R-mediated phagocytosis	7/91	0.007793448162696157	1.0	0	0	3.076923076923077	14.93683654587159	MARCKSL1;NCF1;INPPL1;WAS;PLCG1;PLA2G6;MAPK3
Vibrio cholerae infection	5/50	0.008040893507605765	0.8255317334475252	0	0	4.0	19.292860276717064	KCNQ1;ADCY3;PLCG1;PRKACA;ATP6V1D
Chemokine signaling pathway	11/190	0.008476604918739727	0.652698578742959	0	0	2.31578947368421	11.047346947308263	GSK3A;NCF1;CCL7;GNG4;WAS;ADCY3;ARRB1;PRKACA;RASGRP2;PLCB2;MAPK3
Human T-cell leukemia virus 1 infection	12/219	0.009297026498108457	0.572696832283481	0	0	2.191780821917808	10.2532836412802	KAT2A;CD4;SPI1;CRTC1;ADCY3;BAX;VDAC1;LTBR;PRKACA;RAN;ANAPC2;MAPK3
Hematopoietic cell lineage	7/97	0.010898290499560565	0.5594455789774423	0	0	2.8865979381443294	13.044967158205083	CSF1R;CD4;CR1;ITGA2;CD59;CD1D;CD33
Prion diseases	4/35	0.010945733656667284	0.48161228089336044	0	0	4.571428571428571	20.639110944169403	PRNP;BAX;PRKACA;MAPK3
Lysosome	8/123	0.012178081291260126	0.4688561297135148	0	0	2.6016260162601625	11.468273323089807	ARSA;ABCA2;CTSL;IDUA;GAA;ARSG;CTSV;GLA
Platelet activation	8/124	0.012743171259005495	0.4360996386415214	0	0	2.5806451612903225	11.258734808735266	ITGA2;P2RX1;BTK;ADCY3;PRKACA;RASGRP2;PLCB2;MAPK3
MAPK signaling pathway	14/295	0.016944894602505305	0.5219027537571634	0	0	1.8983050847457628	7.740887012184362	CSF1R;CACNA2D3;ARRB1;HSPA2;RASGRP2;MAPK8IP3;RASGRP4;PPP5C;DUSP10;STMN1;PRKACA;MAP2K7;MET;MAPK3
Ferroptosis	4/40	0.017333054887491272	0.48532553684975566	0	0	4.0	16.220559653524184	PRNP;SLC7A11;GCLM;SLC39A14
Calcium signaling pathway	10/188	0.0201599003415028	0.5174374420985718	0	0	2.127659574468085	8.306510168444733	PDE1B;P2RX1;ADCY3;VDAC1;PLCG1;CAMK1;PRKACA;PLCB2;SLC8A1;TPCN1
Insulin signaling pathway	8/137	0.021940705845488007	0.5198259538777159	0	0	2.335766423357664	8.921253496118961	HK3;RHEB;INPPL1;PYGL;PRKACA;ACACB;SH2B2;MAPK3
Cholinergic synapse	7/112	0.022431444848228562	0.4934917866610284	0	0	2.5	9.493228791607109	GNG4;KCNQ1;CHRNA6;ADCY3;PRKACA;PLCB2;MAPK3
Protein processing in endoplasmic reticulum	9/165	0.023178649070952396	0.47593492759022255	0	0	2.1818181818181817	8.213506304095702	GANAB;HSPH1;PRKCSH;BAX;CAPN1;HSPA2;BAK1;MAP2K7;EIF2S1
Hepatocellular carcinoma	9/168	0.0256658294226503	0.4940672163860183	0	0	2.142857142857143	7.848417356197167	NQO1;SMARCD3;FZD7;TXNRD1;BAX;PLCG1;BAK1;MET;MAPK3
Dilated cardiomyopathy (DCM)	6/91	0.02655314694507905	0.4810805446520204	0	0	2.6373626373626373	9.569952552035172	ITGA2;LMNA;CACNA2D3;ADCY3;PRKACA;SLC8A1
Thyroid hormone signaling pathway	7/116	0.02655573707700826	0.45439816776214137	0	0	2.413793103448276	8.75847113176563	KAT2A;RHEB;SLC16A10;PLCG1;PRKACA;PLCB2;MAPK3
Apoptosis	8/143	0.02746832926218893	0.4452760743554837	0	0	2.2377622377622375	8.044132254380749	CTSL;LMNA;BAX;CAPN1;CTSV;BAK1;EIF2S1;MAPK3
Adrenergic signaling in cardiomyocytes	8/145	0.02950760986159896	0.45441719186862395	0	0	2.206896551724138	7.775132882742184	PPP2CB;KCNQ1;CACNA2D3;ADCY3;PRKACA;PLCB2;SLC8A1;MAPK3
Taurine and hypotaurine metabolism	2/11	0.02954667996708659	0.43335130618393664	0	0	7.2727272727272725	25.612973778194785	GGT7;CSAD
Leishmaniasis	5/74	0.037751290429200716	0.52851806600881	0	0	2.7027027027027026	8.856042217071249	MARCKSL1;CR1;NCF1;FCGR2C;MAPK3
Thyroid hormone synthesis	5/74	0.037751290429200716	0.5055390196606009	0	0	2.7027027027027026	8.856042217071249	ADCY3;PRKACA;PLCB2;ASGR1;ASGR2
Glioma	5/75	0.03965117281127439	0.508856717744688	0	0	2.6666666666666665	8.607026005972685	BAX;PLCG1;BAK1;CAMK1;MAPK3
Galactose metabolism	3/31	0.04160691113161275	0.512597145141469	0	0	3.8709677419354835	12.307699325969082	HK3;GAA;GLA
Relaxin signaling pathway	7/130	0.0449669377075316	0.5326852620738359	0	0	2.1538461538461537	6.680859827081968	GNG4;ADCY3;ARRB1;PRKACA;MAP2K7;PLCB2;MAPK3
Apelin signaling pathway	7/137	0.056647697881061373	0.6462033684209963	0	0	2.043795620437956	5.867540878657185	GNG4;SPP1;ADCY3;PRKACA;PLCB2;SLC8A1;MAPK3
Starch and sucrose metabolism	3/36	0.06037988610364689	0.6641787471401158	0	0	3.333333333333333	9.356997470103483	HK3;GAA;PYGL
Thyroid cancer	3/37	0.06453588403923348	0.6854155960028936	0	0	3.2432432432432434	8.888217950878486	BAX;BAK1;MAPK3
Phenylalanine metabolism	2/17	0.0662415915707929	0.6800803401268071	0	0	4.705882352941176	12.773867020503221	GOT1;ALDH3B1
Glutamatergic synapse	6/114	0.06653353765237376	0.6610428902235844	0	0	2.1052631578947367	5.705366595473973	HOMER1;GNG4;ADCY3;PRKACA;PLCB2;MAPK3
Morphine addiction	5/91	0.07788799770256499	0.7496719778871881	0	0	2.1978021978021975	5.609853650799394	PDE1B;GNG4;ADCY3;ARRB1;PRKACA
Acute myeloid leukemia	4/66	0.08305732510112497	0.7752017009438331	0	0	2.4242424242424243	6.03205877749113	CSF1R;SPI1;PPARD;MAPK3
Non-small cell lung cancer	4/66	0.08305732510112497	0.7524016509160733	0	0	2.4242424242424243	6.03205877749113	BAX;PLCG1;BAK1;MAPK3
GnRH signaling pathway	5/93	0.08369783822179734	0.7365409763518166	0	0	2.150537634408602	5.334499203261968	ADCY3;PRKACA;MAP2K7;PLCB2;MAPK3
Ribosome	7/153	0.08983391585784943	0.768579057894934	0	0	1.830065359477124	4.41007813064962	MRPS11;MRPL17;MRPL14;MRPL36;MRPL13;MRPL32;MRPS18C
Fc epsilon RI signaling pathway	4/68	0.09037481756509516	0.7523092921634948	0	0	2.352941176470588	5.655975569761716	BTK;PLCG1;MAP2K7;MAPK3
Oocyte meiosis	6/125	0.09379617151331575	0.760242653318454	0	0	1.92	4.543931979313926	PPP2CB;ADCY3;PRKACA;YWHAG;ANAPC2;MAPK3
