Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mitochondrial translation initiation_Homo sapiens_R-HSA-5368286	10/84	4.5933684926100545E-5	0.07027853793693384	0	0	4.761904761904761	47.56338968413209	MRPL50;MRPS11;MRPL49;MRPL17;MRPL36;MRPL14;MRPL13;MRPL32;MRPS18C;MRPL44
Mitochondrial translation termination_Homo sapiens_R-HSA-5419276	10/84	4.5933684926100545E-5	0.03513926896846692	0	0	4.761904761904761	47.56338968413209	MRPL50;MRPS11;MRPL49;MRPL17;MRPL36;MRPL14;MRPL13;MRPL32;MRPS18C;MRPL44
Mitochondrial translation elongation_Homo sapiens_R-HSA-5389840	10/84	4.5933684926100545E-5	0.02342617931231128	0	0	4.761904761904761	47.56338968413209	MRPL50;MRPS11;MRPL49;MRPL17;MRPL36;MRPL14;MRPL13;MRPL32;MRPS18C;MRPL44
Mitochondrial translation_Homo sapiens_R-HSA-5368287	10/90	8.328403561424624E-5	0.031856143622449186	0	0	4.444444444444444	41.74779411754359	MRPL50;MRPS11;MRPL49;MRPL17;MRPL36;MRPL14;MRPL13;MRPL32;MRPS18C;MRPL44
DAG and IP3 signaling_Homo sapiens_R-HSA-1489509	5/32	0.0011031421516750023	0.3375614984125507	0	0	6.25	42.55995418564288	PDE1B;ADRBK1;ADCY3;PLCG1;PRKACA
EGFR interacts with phospholipase C-gamma_Homo sapiens_R-HSA-212718	5/34	0.0014630597586829306	0.37308023846414734	0	0	5.88235294117647	38.39544300650074	PDE1B;ADRBK1;ADCY3;PLCG1;PRKACA
PLC-gamma1 signalling_Homo sapiens_R-HSA-167021	5/34	0.0014630597586829306	0.3197830615406977	0	0	5.88235294117647	38.39544300650074	PDE1B;ADRBK1;ADCY3;PLCG1;PRKACA
Organelle biogenesis and maintenance_Homo sapiens_R-HSA-1852241	18/326	0.001518488515430963	0.2904109285761717	0	0	2.2085889570552144	14.33383031398126	ARF4;SMARCD3;CETN2;MRPS11;MRPL49;MRPL17;MRPL14;MRPL36;NR1D1;DYNLL1;MRPL13;MRPL32;MRPS18C;MRPL44;MRPL50;ARL13B;PRKACA;YWHAG
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell_Homo sapiens_R-HSA-198933	11/157	0.0020206178701832954	0.3435050379311602	0	0	2.8025477707006368	17.387992692515706	SIGLEC10;LILRB1;CD1D;LILRA1;CD300LF;LILRA2;PVR;SIGLEC7;CD33;OSCAR;LILRA5
Synthesis of IP3 and IP4 in the cytosol_Homo sapiens_R-HSA-1855204	4/25	0.0032171757921806987	0.4922278962036469	0	0	6.3999999999999995	36.731208879756906	INPPL1;PLCG1;PLCH2;PLCB2
Glucose metabolism_Homo sapiens_R-HSA-70326	7/79	0.003599159183618213	0.5006103228123514	0	0	3.5443037974683542	19.94399247915885	HK3;PPP2CB;GOT1;GAA;PYGL;BPGM;PRKACA
Trafficking and processing of endosomal TLR_Homo sapiens_R-HSA-1679131	3/13	0.003684485563252584	0.4697719093147044	0	0	9.23076923076923	51.72576337848703	UNC93B1;CTSL;CTSV
CaM pathway_Homo sapiens_R-HSA-111997	4/26	0.003728002907514726	0.43875726526904085	0	0	6.153846153846154	34.411585244592914	PDE1B;ADRBK1;ADCY3;PRKACA
Calmodulin induced events_Homo sapiens_R-HSA-111933	4/26	0.003728002907514726	0.4074174606069665	0	0	6.153846153846154	34.411585244592914	PDE1B;ADRBK1;ADCY3;PRKACA
Intrinsic Pathway for Apoptosis_Homo sapiens_R-HSA-109606	5/42	0.0037982815454921017	0.38742471764019437	0	0	4.761904761904761	26.539078759070478	TP53BP2;BAX;BAK1;DYNLL1;YWHAG
Opioid Signalling_Homo sapiens_R-HSA-111885	7/81	0.004137868369641072	0.3956836628469275	0	0	3.45679012345679	18.969393368954325	PPP2CB;PDE1B;GNG4;ADRBK1;ADCY3;PRKACA;PLCB2
Phospholipase C-mediated cascade; FGFR3_Homo sapiens_R-HSA-5654227	5/44	0.004655563021474729	0.41900067193272555	0	0	4.545454545454545	24.407692844243154	PDE1B;ADRBK1;ADCY3;PLCG1;PRKACA
PLC beta mediated events_Homo sapiens_R-HSA-112043	5/44	0.004655563021474729	0.3957228568253519	0	0	4.545454545454545	24.407692844243154	PDE1B;ADRBK1;ADCY3;PRKACA;PLCB2
Ca-dependent events_Homo sapiens_R-HSA-111996	4/28	0.00490889575807688	0.3952952899925066	0	0	5.7142857142857135	30.381178622804246	PDE1B;ADRBK1;ADCY3;PRKACA
G-protein mediated events_Homo sapiens_R-HSA-112040	5/45	0.005132038577565734	0.39260095118377863	0	0	4.444444444444444	23.4322325119747	PDE1B;ADRBK1;ADCY3;PRKACA;PLCB2
Phospholipase C-mediated cascade; FGFR4_Homo sapiens_R-HSA-5654228	5/46	0.0056420272800515175	0.41106198754661055	0	0	4.3478260869565215	22.510921005391545	PDE1B;ADRBK1;ADCY3;PLCG1;PRKACA
Phospholipase C-mediated cascade: FGFR1_Homo sapiens_R-HSA-5654219	5/47	0.006186730331773237	0.4302589730733206	0	0	4.25531914893617	21.639781062336326	PDE1B;ADRBK1;ADCY3;PLCG1;PRKACA
Rap1 signalling_Homo sapiens_R-HSA-392517	3/16	0.006823799195615574	0.45393098996920994	0	0	7.5	37.40504171568808	RAP1GAP2;RASGRP2;PRKACA
Phospholipase C-mediated cascade; FGFR2_Homo sapiens_R-HSA-5654221	5/49	0.0073850048718756625	0.4707940605820735	0	0	4.081632653061225	20.033892666531464	PDE1B;ADRBK1;ADCY3;PLCG1;PRKACA
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway_Homo sapiens_R-HSA-5676594	3/17	0.00813412351983557	0.4978083594139369	0	0	7.0588235294117645	33.96485143053246	TNFSF14;TNFSF12;LTBR
Protein repair_Homo sapiens_R-HSA-5676934	2/6	0.0087524127649488	0.5150458280912178	0	0	13.333333333333332	63.17901162743442	PCMT1;TXN
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest_Homo sapiens_R-HSA-6804114	3/18	0.009582224106397506	0.5429926993625254	0	0	6.666666666666666	30.985637016835305	PCNA;BAX;ZNF385A
CREB phosphorylation through the activation of Adenylate Cyclase_Homo sapiens_R-HSA-442720	2/7	0.012051662882171474	0.6585372932043698	0	0	11.428571428571427	50.49774434338215	ADCY3;PRKACA
Recycling of eIF2:GDP_Homo sapiens_R-HSA-72731	2/8	0.01580491452517871	0.833845490466325	0	0	10.0	41.47434341416576	EIF2B2;EIF2S1
Linoleic acid (LA) metabolism_Homo sapiens_R-HSA-2046105	2/8	0.01580491452517871	0.8060506407841141	0	0	10.0	41.47434341416576	FADS2;ABCD1
Adaptive Immune System_Homo sapiens_R-HSA-1280218	29/762	0.01685730295258859	0.8319894683051787	0	0	1.522309711286089	6.2155468706799635	PSMD10;GSK3A;NCF1;WAS;CD1D;CTSV;LILRA1;LILRA2;RASGRP2;PVR;LILRA5;ZNRF1;PPP2CB;CTSL;PLCG1;PRKACA;CD300LF;CD33;MAPK3;RAP1GAP2;SIGLEC10;MIB2;LILRB1;DYNLL1;OSCAR;CD4;BTK;SIGLEC7;ANAPC2
Negative regulation of MAPK pathway_Homo sapiens_R-HSA-5675221	4/40	0.017333054887491272	0.8287366868081765	0	0	4.0	16.220559653524184	PPP2CB;PPP5C;DUSP10;MAPK3
Immune System_Homo sapiens_R-HSA-168256	52/1547	0.01780398376669438	0.825457429183103	0	0	1.3445378151260503	5.416246103673966	GSK3A;NCF1;PRKCSH;INPPL1;ARRB1;CTSV;PVR;DUSP10;CTSL;PRKACA;CD33;CR1;DYNLL1;OSCAR;BTK;ANAPC2;PSMD10;CSF1R;UNC93B1;PDE1B;WAS;ADCY3;CD1D;TXN;LILRA1;MEFV;PLA2G6;LILRA2;RASGRP2;RASGRP4;LILRA5;ZNRF1;PPP2CB;ADRBK1;CD59;PLCG1;CD300LF;MAP2K7;ATP6V1D;MAPK3;RAP1GAP2;TNFSF14;TNFSF12;CARD9;SIGLEC10;MIB2;LILRB1;PPP5C;GZMM;CD4;LTBR;SIGLEC7
Fatty acid, triacylglycerol, and ketone body metabolism_Homo sapiens_R-HSA-535734	11/217	0.0210105366427984	0.945474148925928	0	0	2.0276497695852536	7.832266072654336	SMARCD3;TXNRD1;MED20;MED31;MED8;ACOT13;NR1D1;ACAD10;ACACB;MED28;PPARD
PPARA activates gene expression_Homo sapiens_R-HSA-1989781	7/113	0.023417918907043294	1.0	0	0	2.47787610619469	9.30257574897766	SMARCD3;TXNRD1;MED31;MED20;MED8;NR1D1;MED28
Basigin interactions_Homo sapiens_R-HSA-210991	3/25	0.02374801151107834	1.0	0	0	4.8	17.95323109370892	SPN;SLC16A1;SLC7A11
Sulfur amino acid metabolism_Homo sapiens_R-HSA-1614635	3/25	0.02374801151107834	0.9820123678905367	0	0	4.8	17.95323109370892	GOT1;CSAD;GCLM
Synthesis and interconversion of nucleotide di- and triphosphates_Homo sapiens_R-HSA-499943	3/25	0.02374801151107834	0.9561699371565752	0	0	4.8	17.95323109370892	TXNRD1;TXN;AK6
Inositol phosphate metabolism_Homo sapiens_R-HSA-1483249	4/44	0.02382609847412197	0.934716170907862	0	0	3.6363636363636362	13.58899536203803	INPPL1;PLCG1;PLCH2;PLCB2
Removal of the Flap Intermediate from the C-strand_Homo sapiens_R-HSA-174437	2/10	0.02457569018526242	0.9400201495862875	0	0	8.0	29.64798022792225	PCNA;RPA3
Metabolism of lipids and lipoproteins_Homo sapiens_R-HSA-556833	25/659	0.026142339162499053	0.9755555833810623	0	0	1.5174506828528072	5.529892395824945	SMARCD3;INPPL1;ZDHHC8;PLA2G6;ACACB;FADS2;ALDH3B1;MED31;ARSG;PRKACA;ACAD10;ABCD1;ARSA;PNPLA7;TXNRD1;MED8;ACOT13;NR1D1;MED28;MED20;PLBD1;SLC27A2;GLA;RAN;PPARD
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)_Homo sapiens_R-HSA-400206	7/116	0.02655573707700826	0.967387564948158	0	0	2.413793103448276	8.75847113176563	SMARCD3;TXNRD1;MED31;MED20;MED8;NR1D1;MED28
Import of palmitoyl-CoA into the mitochondrial matrix_Homo sapiens_R-HSA-200425	2/11	0.02954667996708659	1.0	0	0	7.2727272727272725	25.612973778194785	ACACB;PPARD
Processive synthesis on the C-strand of the telomere_Homo sapiens_R-HSA-174414	2/11	0.02954667996708659	1.0	0	0	7.2727272727272725	25.612973778194785	PCNA;RPA3
