Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human Complement System WP2806	9/97	7.23452087262208E-4	0.34146938518776215	0	0	3.711340206185567	26.83846851080933	PRNP;CR1;C1QBP;ITGA2;WAS;SPP1;CD59;TXN;PRKACA
Trans-sulfuration pathway WP2333	3/10	0.0016347780174221294	0.38580761211162257	0	0	11.999999999999998	76.99497903613396	GOT1;GCLM;CSAD
Dopamine metabolism WP2436	3/13	0.003684485563252584	0.5796923952850732	0	0	9.23076923076923	51.72576337848703	NQO1;PPP2CB;PRKACA
Phytochemical activity on NRF2 transcriptional activation WP3	3/15	0.005648024777015824	0.6664669236878672	0	0	8.0	41.41159513548328	NQO1;SLC7A11;GCLM
Deregulation of Rab and Rab Effector Genes in Bladder Cancer WP2291	3/16	0.006823799195615574	0.6441666440661102	0	0	7.5	37.40504171568808	SYTL1;UNC13D;TBC1D10A
Benzene metabolism WP3891	2/6	0.0087524127649488	0.6885231375093056	0	0	13.333333333333332	63.17901162743442	NQO1;EPHX1
MAPK Signaling Pathway WP382	13/246	0.009271500822855541	0.6251640554839736	0	0	2.113821138211382	9.89439514614553	LRRK2;CACNA2D3;ARRB1;HSPA2;RASGRP2;MAPK8IP3;RASGRP4;PPP5C;DUSP10;STMN1;PRKACA;MAP2K7;MAPK3
Brain-Derived Neurotrophic Factor (BDNF) signaling pathway WP2380	9/144	0.010348889192465793	0.6105844623554818	0	0	2.5	11.427190223574685	NCF1;CRTC1;SPP1;PLCG1;CAMK1;ACACB;EIF2S1;SH2B2;MAPK3
NRF2 pathway WP2884	9/146	0.011261648799361765	0.5906109148109726	0	0	2.465753424657534	11.062238393112967	NQO1;PRDX1;TXNRD1;TXN;SLC7A11;GCLM;SLC5A3;SLC39A14;PPARD
Myometrial Relaxation and Contraction Pathways WP289	9/156	0.016753735091771253	0.7907762963316032	0	0	2.3076923076923075	9.436463203883656	GNG4;PKIA;ADCY3;ARRB1;PLCG1;PRKACA;DGKZ;SLC8A1;YWHAG
Regulation of Apoptosis by Parathyroid Hormone-related Protein WP3872	3/22	0.01679971420817187	0.7208604642051929	0	0	5.454545454545454	22.289418568014327	GSK3A;BAX;BAK1
Ferroptosis WP4313	4/40	0.017333054887491272	0.6817668255746567	0	0	4.0	16.220559653524184	PRNP;SLC7A11;GCLM;SLC39A14
Glycogen Synthesis and Degradation WP500	4/40	0.017333054887491272	0.6293232236073755	0	0	4.0	16.220559653524184	HK3;PPP2CB;GSK3A;PYGL
NRF2-ARE regulation WP4357	3/23	0.01896828932905573	0.6395023259510217	0	0	5.217391304347825	20.686887009392155	NQO1;SLC7A11;GCLM
Degradation pathway of sphingolipids, including diseases WP4153	2/9	0.019987498286726836	0.6289399460890045	0	0	8.888888888888888	34.779095880349324	ARSA;GLA
Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling WP3612	3/24	0.021284306818544364	0.6278870511470587	0	0	5.0	19.248926234484543	NQO1;EPHX1;GCLM
Chemokine signaling pathway WP3929	9/164	0.022389275608458103	0.6216316521877779	0	0	2.195121951219512	8.339648492736076	NCF1;CCL7;GNG4;WAS;ADCY3;ARRB1;RASGRP2;PLCB2;MAPK3
Follicle Stimulating Hormone (FSH) signaling pathway WP2035	3/27	0.029117852235481113	0.7635347919526159	0	0	4.444444444444444	15.717350284548534	RHEB;PRKACA;MAPK3
Calcium Regulation in the Cardiac Cell WP536	8/149	0.033893948417248895	0.8419970343653409	0	0	2.1476510067114094	7.268765193657024	GNG4;PKIA;ADCY3;ARRB1;CAMK1;PRKACA;SLC8A1;YWHAG
MFAP5-mediated ovarian cancer cell motility and invasiveness WP3301	2/13	0.040550197611673826	0.9569846636355022	0	0	6.153846153846154	19.724397693220933	PLCG1;MAPK3
Osteopontin Signaling WP1434	2/13	0.040550197611673826	0.9114139653671449	0	0	6.153846153846154	19.724397693220933	SPP1;MAPK3
Leptin signaling pathway WP2034	5/76	0.041608232853202386	0.8926857230323421	0	0	2.631578947368421	8.366992700448678	GSK3A;BAX;PLCG1;ACACB;MAPK3
Ras Signaling WP4223	9/184	0.04216715258370286	0.8653433051959891	0	0	1.9565217391304348	6.1945703527008735	CSF1R;GNG4;PLCG1;PRKACA;PLA2G6;RASGRP2;MET;RASGRP4;MAPK3
Cysteine and methionine catabolism WP4504	2/14	0.04654140207685347	0.915314240844785	0	0	5.7142857142857135	17.52807425877975	GOT1;CSAD
DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM WP3959	4/55	0.048445342258299454	0.9146480618366937	0	0	2.9090909090909087	8.806746415378175	PCNA;BAX;BAK1;TP53BP1
