Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Osteoclast differentiation	17/127	1.8256241241499607E-8	5.622922302381879E-6	0	0	5.365060830322062	95.59872504135342	LILRA6;CSF1R;SPI1;NCF1;LILRB1;LILRA1;LILRB2;LILRA2;LILRB3;LILRA3;SIRPB1;OSCAR;LILRA5;BTK;FCGR2B;MAP2K6;MAPK3
Hematopoietic cell lineage	11/97	3.004667225987695E-5	0.00462718752802105	0	0	4.545172819866537	47.327787564989926	CSF1R;IL11;HLA-DMA;CD4;CR1;ITGA2;CD59;CD1D;CD36;CD1C;CD33
Longevity regulating pathway	10/102	2.338268427924524E-4	0.02400622252669178	0	0	3.929427482415812	32.85366695979931	SESN3;RPS6KB1;HSPA6;BAX;HSPA2;PRKACA;SIRT1;HSPA1B;CREB5;HSPA1A
Prion diseases	5/35	0.0016576540351121863	0.12763936070363835	0	0	5.72573718866304	36.658184414702575	PRNP;BAX;PRKACA;MAPK3;HSPA1A
Legionellosis	6/55	0.0024105727038740256	0.14849127855863997	0	0	4.37238112588814	26.35623650172371	CR1;HSPA6;HSPA2;HSPA1B;HSPD1;HSPA1A
Glycolysis / Gluconeogenesis	6/68	0.006943799841148308	0.35644839184561317	0	0	3.536484734174231	17.575997147562024	HK3;ALDH2;ALDH3B1;PGAM4;BPGM;FBP1
Malaria	5/49	0.007324473061140072	0.32227681469016317	0	0	4.089812277616457	20.107701377090194	CR1;LRP1;HGF;CD36;MET
Toxoplasmosis	8/113	0.007407615013753291	0.2851931780295017	0	0	2.837533474027701	13.918801857093245	HLA-DMA;ALOX5;HSPA6;HSPA2;HSPA1B;MAP2K6;MAPK3;HSPA1A
Fc gamma R-mediated phagocytosis	7/91	0.007712307108642946	0.26393228771800303	0	0	3.083089255433945	14.999037768731213	MARCKSL1;GSN;NCF1;RPS6KB1;WAS;FCGR2B;MAPK3
Cholesterol metabolism	5/50	0.007975304632425061	0.24563938267869187	0	0	4.008016032064129	19.364350431332927	LRP1;OSBPL5;SORT1;VDAC1;CD36
Protein processing in endoplasmic reticulum	10/165	0.008592217083715305	0.24058207834402853	0	0	2.4291006254934113	11.55498506282689	GANAB;HSPH1;HSPA6;BAX;CAPN1;HSPA2;BAK1;RNF185;HSPA1B;HSPA1A
Hepatocellular carcinoma	10/168	0.009687332341123575	0.24864153008883846	0	0	2.3857238286096	11.062449163028825	FZD2;SMARCD3;RPS6KB1;HGF;FZD7;TXNRD1;BAX;BAK1;MET;MAPK3
Antigen processing and presentation	6/77	0.012486189128280962	0.2958266347315797	0	0	3.1231293756343854	13.689088666361078	HLA-DMA;CD4;HSPA6;HSPA2;HSPA1B;HSPA1A
Complement and coagulation cascades	6/79	0.01404703110254987	0.30903468425609715	0	0	3.044062809162629	12.9839756930319	CR1;SERPINB2;C1R;SERPING1;CD59;VSIG4
Phagosome	9/152	0.014193490684288426	0.2914396753840557	0	0	2.3731673874063914	10.097760362275961	MARCO;HLA-DMA;NCF1;CLEC7A;C1R;ITGA2;CD36;FCGR2B;ATP6V1D
MAPK signaling pathway	14/295	0.01668439304221184	0.32117456606257794	0	0	1.9021093033524676	7.785868907781114	CSF1R;HGF;HSPA6;CACNA2D3;ARRB1;HSPA2;DUSP10;RRAS;PRKACA;MET;HSPA1B;HSPA1A;MAP2K6;MAPK3
Histidine metabolism	3/23	0.01886853485257483	0.3418534549760616	0	0	5.227846998344515	20.755909559408284	ALDH2;ALDH3B1;HNMT
TGF-beta signaling pathway	6/90	0.025100618407112498	0.42949947052170273	0	0	2.6720106880427523	9.845992773318203	TGIF1;PPP2CB;TGIF2;RPS6KB1;ID3;MAPK3
Staphylococcus aureus infection	5/68	0.027329937014096112	0.44303266317587375	0	0	2.947070611811859	10.608783990593563	HLA-DMA;C1R;FPR1;FPR2;FCGR2B
Influenza A	9/171	0.028024886555337702	0.4315832529522006	0	0	2.1094821221390148	7.540686336911549	HLA-DMA;HSPA6;VDAC1;HSPA2;HSPA1B;MAP2K6;SLC25A6;MAPK3;HSPA1A
Gastric cancer	8/149	0.03355551798851071	0.49214759716482376	0	0	2.1519549165444984	7.3049270804520345	FZD2;RPS6KB1;HGF;FZD7;BAX;BAK1;MET;MAPK3
Melanoma	5/72	0.033872830469891285	0.47421962657847794	0	0	2.7833444667112004	9.42201638555587	HGF;BAX;BAK1;MET;MAPK3
Leishmaniasis	5/74	0.03747853104420887	0.5018864157224492	0	0	2.7081189405838706	8.89342743713746	HLA-DMA;MARCKSL1;CR1;NCF1;MAPK3
Ribosome biogenesis in eukaryotes	6/101	0.04082191477626721	0.5238812396287625	0	0	2.380999623008393	7.615713521864473	RBM28;WDR3;AK6;REXO2;RPP38;GNL3
Glucagon signaling pathway	6/103	0.04422228412323768	0.5448185403982881	0	0	2.3347666206198805	7.281031463929472	PGAM4;PYGL;PRKACA;SIRT1;FBP1;CREB5
Human T-cell leukemia virus 1 infection	10/219	0.04871446534551358	0.5770790510160839	0	0	1.8301443068785972	5.530292115401894	HLA-DMA;CD4;SPI1;BAX;VDAC1;LTBR;PRKACA;CREB5;SLC25A6;MAPK3
Insulin resistance	6/108	0.053478633995713745	0.6100525655807346	0	0	2.22667557336896	6.520759450931955	RPS6KB1;PYGL;CD36;SLC27A3;SLC27A2;CREB5
Estrogen signaling pathway	7/137	0.05616179961594165	0.6177797957753581	0	0	2.0478914032444453	5.896941131121255	HSPA6;HSPA2;PRKACA;HSPA1B;CREB5;MAPK3;HSPA1A
Insulin signaling pathway	7/137	0.05616179961594165	0.5964770441968975	0	0	2.0478914032444453	5.896941131121255	HK3;RPS6KB1;PYGL;PRKACA;FBP1;SH2B2;MAPK3
Measles	7/138	0.05795708301686029	0.5950260523064322	0	0	2.0330516104673118	5.790237702135466	HSPA6;BAX;HSPA2;BAK1;FCGR2B;HSPA1B;HSPA1A
Cholinergic synapse	6/112	0.06166951394784325	0.6127164611592169	0	0	2.14715144574864	5.981890004674994	GNG4;KCNQ1;CHRNA6;PRKACA;CREB5;MAPK3
Primary immunodeficiency	3/37	0.06422834016420031	0.6181977740804281	0	0	3.2497427287006446	8.921553583201426	CD4;BTK;ADA
Thyroid cancer	3/37	0.06422834016420031	0.5994645081992029	0	0	3.2497427287006446	8.921553583201426	BAX;BAK1;MAPK3
Proteoglycans in cancer	9/201	0.06561079446997596	0.5943566087280175	0	0	1.7946340442078186	4.8886101397811865	FZD2;RRAS;RPS6KB1;FZD7;HGF;ITGA2;PRKACA;MET;MAPK3
Adrenergic signaling in cardiomyocytes	7/145	0.07151045580415501	0.6292920110765641	0	0	1.9349042913413033	5.104106484597413	PPP2CB;KCNQ1;CACNA2D3;PRKACA;SLC8A1;CREB5;MAPK3
Basal cell carcinoma	4/63	0.07223918589006367	0.6180463681705448	0	0	2.54477208385024	6.687082455588763	FZD2;FZD7;BAX;BAK1
Dilated cardiomyopathy (DCM)	5/91	0.077374648832407	0.6440916713616582	0	0	2.202206611024246	5.635658319942324	ITGA2;LMNA;CACNA2D3;PRKACA;SLC8A1
Ferroptosis	3/40	0.07739908621583053	0.6273399619598896	0	0	3.006012024048096	7.691724362083672	PRNP;SLC7A11;GCLM
Central carbon metabolism in cancer	4/65	0.0790619269598124	0.6243865000928774	0	0	2.466471404347156	6.258730009004337	HK3;PGAM4;MET;MAPK3
AMPK signaling pathway	6/120	0.08015643255914096	0.6172045307053853	0	0	2.0040080160320644	5.057665624526348	PPP2CB;RPS6KB1;CD36;SIRT1;FBP1;CREB5
Tuberculosis	8/179	0.08030941234379416	0.6032999756558195	0	0	1.7912920813694428	4.517402985020568	HLA-DMA;CR1;CLEC7A;CARD9;BAX;FCGR2B;HSPD1;MAPK3
Bladder cancer	3/41	0.08203209740102893	0.6015687142742122	0	0	2.9326946576078985	7.333627283603584	RASSF1;UPK3A;MAPK3
Acute myeloid leukemia	4/66	0.08258943168134009	0.5915708129733197	0	0	2.4291006254934113	6.057869806005826	CSF1R;SPI1;RPS6KB1;MAPK3
Non-small cell lung cancer	4/66	0.08258943168134009	0.5781260217693807	0	0	2.4291006254934113	6.057869806005826	RASSF1;BAX;BAK1;MAPK3
Human immunodeficiency virus 1 infection	9/212	0.08489892959522476	0.5810860070073162	0	0	1.7015162400272241	4.196438942445212	BST2;CD4;RPS6KB1;GNG4;BAX;BAK1;APOBEC3A;MAP2K6;MAPK3
Fc epsilon RI signaling pathway	4/68	0.08987210021782867	0.6017523231976354	0	0	2.357656489449487	5.680461459566916	ALOX5;BTK;MAPK3;MAP2K6
Platelet activation	6/124	0.09044358657766254	0.5926941418280864	0	0	1.939362596160062	4.6603445123298695	ITGA2;P2RX1;TBXAS1;BTK;PRKACA;MAPK3
B cell receptor signaling pathway	4/71	0.10134994662155618	0.6503288241549855	0	0	2.2580372011628893	5.169044416175678	BTK;LILRB3;FCGR2B;MAPK3
Choline metabolism in cancer	5/99	0.10180249347524367	0.6399013875586745	0	0	2.024250521244509	4.624847030025263	CHKB;RPS6KB1;WAS;DGKZ;MAPK3
Chemokine signaling pathway	8/190	0.1040276183991464	0.6408101293387418	0	0	1.6875856977112118	3.8191732577841697	GSK3A;NCF1;CCL7;GNG4;WAS;ARRB1;PRKACA;MAPK3
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	4/72	0.10531919102099033	0.6360453104797062	0	0	2.22667557336896	5.011711479706742	ITGA2;LMNA;CACNA2D3;SLC8A1
Cellular senescence	7/160	0.10635564067695515	0.6299526409327344	0	0	1.753507014028056	3.9295508265428185	RRAS;VDAC1;CAPN1;SIRT1;MAP2K6;SLC25A6;MAPK3
Hippo signaling pathway	7/160	0.10635564067695515	0.6180667420472111	0	0	1.753507014028056	3.9295508265428185	PPP2CB;RASSF1;FZD2;RASSF4;FZD7;TP53BP2;NKD1
Mismatch repair	2/23	0.11150273046053624	0.6359785367008364	0	0	3.485231332229677	7.6455735817600345	PCNA;RPA3
Thyroid hormone synthesis	4/74	0.11346553890858065	0.6354070178880517	0	0	2.1664951524670966	4.714848313088854	PRKACA;ASGR1;ASGR2;CREB5
