Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell_Homo sapiens_R-HSA-198933	17/157	4.2144500605678884E-7	6.448108592668869E-4	0	0	4.339889971024852	63.70774700486091	LILRA6;SIGLEC10;LILRB1;CD1D;LILRA1;LILRB2;CD1C;LILRA2;LILRB3;LILRA3;OSCAR;LILRA5;CD300LB;CD300LF;FCGR2B;SIGLEC7;CD33
Attenuation phase_Homo sapiens_R-HSA-3371568	5/26	4.039167895541686E-4	0.308996344008939	0	0	7.707723138584862	60.230473775760785	HSPH1;HSPA6;HSPA2;HSPA1B;HSPA1A
HSF1 activation_Homo sapiens_R-HSA-3371511	5/29	6.856468003893277E-4	0.3496798681985571	0	0	6.9103724690760835	50.34308569598289	HSPH1;RPA3;HSPA6;HSPA1B;HSPA1A
Linoleic acid (LA) metabolism_Homo sapiens_R-HSA-2046105	3/8	7.873424749607618E-4	0.3011584966724914	0	0	15.030060120240481	107.41754367338736	FADS2;ABCD1;FADS1
Regulation of HSF1-mediated heat shock response_Homo sapiens_R-HSA-3371453	8/80	8.533620977175509E-4	0.2611288019015706	0	0	4.008016032064129	28.321950306469468	HSPH1;RPA3;HSPA6;HSPA2;SIRT1;HSPA1B;MAPK3;HSPA1A
HSF1-dependent transactivation_Homo sapiens_R-HSA-3371571	5/34	0.0014501861279308413	0.3697974626223645	0	0	5.894141223623718	38.52448052986787	HSPH1;HSPA6;HSPA2;HSPA1B;HSPA1A
Cellular response to heat stress_Homo sapiens_R-HSA-3371556	8/96	0.0027640726858488224	0.6041473156212426	0	0	3.34001336005344	19.67618595885804	HSPH1;RPA3;HSPA6;HSPA2;SIRT1;HSPA1B;MAPK3;HSPA1A
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism_Homo sapiens_R-HSA-2046104	3/13	0.003663762206263562	0.7006945219479062	0	0	9.249267766301834	51.8815914997403	FADS2;ABCD1;FADS1
alpha-linolenic acid (ALA) metabolism_Homo sapiens_R-HSA-2046106	3/13	0.003663762206263562	0.6228395750648055	0	0	9.249267766301834	51.8815914997403	FADS2;ABCD1;FADS1
Ficolins bind to repetitive carbohydrate structures on the target cell surface_Homo sapiens_R-HSA-2855086	2/5	0.005909678735763783	0.9041808465718588	0	0	16.032064128256515	82.26314723001988	FCN1;FCN2
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway_Homo sapiens_R-HSA-5676594	3/17	0.008089572477683991	1.0	0	0	7.072969468348462	34.071762784976976	TNFSF12;LTBR;LTB
Lectin pathway of complement activation_Homo sapiens_R-HSA-166662	2/6	0.008718577527855507	1.0	0	0	13.36005344021376	63.357370499766176	FCN1;FCN2
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest_Homo sapiens_R-HSA-6804114	3/18	0.009530092468954818	1.0	0	0	6.68002672010688	31.084174071007013	PCNA;BAX;ZNF385A
Immune System_Homo sapiens_R-HSA-168256	53/1547	0.011588499725449048	1.0	0	0	1.373140592756295	6.1211065960623685	FCN1;FCN2;GSK3A;NCF1;ARRB1;SIRPB1;DUSP10;CD36;PRKACA;CD33;ZBP1;IL11;CR1;HGF;OSCAR;IRF4;BTK;TLR8;BPI;LTB;LILRA6;CSF1R;C1R;WAS;CD1D;LILRA1;CD1C;LILRA2;LILRA3;LILRA5;PPP2CB;HLA-DMA;CLEC7A;CD300LB;CD59;CD300LF;ATP6V1D;MAP2K6;MAPK3;RAP1GAP2;TNFSF12;CARD9;SIGLEC10;IL36G;LILRB1;LILRB2;LILRB3;BST2;GZMM;CD4;LTBR;FCGR2B;SIGLEC7
Glucose metabolism_Homo sapiens_R-HSA-70326	6/79	0.01404703110254987	1.0	0	0	3.044062809162629	12.9839756930319	HK3;PPP2CB;PYGL;BPGM;PRKACA;FBP1
Complement cascade_Homo sapiens_R-HSA-166658	6/80	0.01487629721549111	1.0	0	0	3.006012024048096	12.649256884535205	FCN1;FCN2;GZMM;CR1;C1R;CD59
Formyl peptide receptors bind formyl peptides and many other ligands_Homo sapiens_R-HSA-444473	2/8	0.015744862472324966	1.0	0	0	10.02004008016032	41.5956027971552	FPR1;FPR2
Sema4D mediated inhibition of cell attachment and migration_Homo sapiens_R-HSA-416550	2/8	0.015744862472324966	1.0	0	0	10.02004008016032	41.5956027971552	RRAS;MET
Cross-presentation of particulate exogenous antigens (phagosomes)_Homo sapiens_R-HSA-1236973	2/8	0.015744862472324966	1.0	0	0	10.02004008016032	41.5956027971552	NCF1;CD36
Downregulation of SMAD2/3:SMAD4 transcriptional activity_Homo sapiens_R-HSA-2173795	3/23	0.01886853485257483	1.0	0	0	5.227846998344515	20.755909559408284	TGIF1;TGIF2;SKIL
Basigin interactions_Homo sapiens_R-HSA-210991	3/25	0.023624826253534743	1.0	0	0	4.809619238476953	18.014222813517158	SPN;SLC16A1;SLC7A11
Removal of the Flap Intermediate from the C-strand_Homo sapiens_R-HSA-174437	2/10	0.02448392631737818	1.0	0	0	8.016032064128257	29.737382327993018	PCNA;RPA3
Adaptive Immune System_Homo sapiens_R-HSA-1280218	28/762	0.027191670911054552	1.0	0	0	1.4727617965589972	5.309077363873292	LILRA6;GSK3A;NCF1;WAS;CD1D;LILRA1;CD1C;LILRA2;LILRA3;LILRA5;PPP2CB;HLA-DMA;CD300LB;CD36;PRKACA;CD300LF;CD33;MAPK3;RAP1GAP2;SIGLEC10;LILRB1;LILRB2;LILRB3;OSCAR;CD4;BTK;FCGR2B;SIGLEC7
RORA activates gene expression_Homo sapiens_R-HSA-1368082	3/27	0.028968891579981497	1.0	0	0	4.45335114673792	15.77168883942596	SMARCD3;NR1D1;SIRT1
Processive synthesis on the C-strand of the telomere_Homo sapiens_R-HSA-174414	2/11	0.029437318160463032	1.0	0	0	7.2873018764802335	25.691325081900818	PCNA;RPA3
MyD88 deficiency (TLR2/4)_Homo sapiens_R-HSA-5602498	2/11	0.029437318160463032	1.0	0	0	7.2873018764802335	25.691325081900818	BTK;CD36
