Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human Complement System WP2806	12/97	5.312794861176391E-6	0.0025076391744752566	0	0	4.958370348945314	60.22135415725668	FCN1;FCN2;PRNP;CR1;C1R;ITGA2;FPR1;WAS;SERPING1;CD59;VSIG4;PRKACA
Interleukin-11 Signaling Pathway WP2332	5/44	0.004616475433502032	1.0	0	0	4.554563672800145	24.49500709701657	IL11;RPS6KB1;FES;ITGA2;MAPK3
Prion disease pathway WP3995	4/33	0.008834014495511208	1.0	0	0	4.858201250986823	22.975141676962267	PRNP;SPI1;IRF4;MAPK3
DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM WP3959	5/55	0.011837257246385426	1.0	0	0	3.6436509382401168	16.165069513023667	RASSF1;PCNA;BAX;BAK1;TP53BP1
Regulation of Apoptosis by Parathyroid Hormone-related Protein WP3872	3/22	0.016710758224010344	1.0	0	0	5.465476407360175	22.36310381821747	GSK3A;BAX;BAK1
Glycogen Synthesis and Degradation WP500	4/40	0.01721887297349511	1.0	0	0	4.008016032064129	16.27955603534299	HK3;PPP2CB;GSK3A;PYGL
IL-5 Signaling Pathway WP127	4/40	0.01721887297349511	1.0	0	0	4.008016032064129	16.27955603534299	GSK3A;RPS6KB1;BTK;MAPK3
Tgif disruption of Shh signaling WP3674	2/9	0.019912211750142357	1.0	0	0	8.90670229347584	34.882405519263955	TGIF1;TGIF2
MAPK Signaling Pathway WP382	12/246	0.02112992733437905	1.0	0	0	1.9551297717385991	7.541062390808609	DUSP10;RRAS;LRRK2;HSPA6;CACNA2D3;ARRB1;HSPA2;PRKACA;HSPA1B;HSPA1A;MAP2K6;MAPK3
Vitamin A and Carotenoid Metabolism WP716	4/43	0.021940344052406784	1.0	0	0	3.728387006571282	14.240306259941201	SULT1A1;RBP7;ALDH1A1;CD36
Follicle Stimulating Hormone (FSH) signaling pathway WP2035	3/27	0.028968891579981497	1.0	0	0	4.45335114673792	15.77168883942596	RPS6KB1;PRKACA;MAPK3
NRF2 pathway WP2884	8/146	0.030256488359521508	1.0	0	0	2.1961731682543166	7.682311749595384	HGF;MAFG;TXNRD1;SLC39A11;SLC7A11;GCLM;SLC5A3;HSPA1A
MAPK  and NFkB Signalling Pathways Inhibited by Yersinia YopJ WP3849	2/12	0.0347505757360525	1.0	0	0	6.68002672010688	22.44194481739897	RRAS;MAP2K6
MAPK Cascade WP422	3/29	0.034896686429043866	1.0	0	0	4.14622348144565	13.912086513749546	RRAS;MAPK3;MAP2K6
Development of pulmonary dendritic cells and macrophage subsets WP3892	2/13	0.040402734490517254	1.0	0	0	6.16617851086789	19.78639007798208	SPI1;IRF4
Dopamine metabolism WP2436	2/13	0.040402734490517254	1.0	0	0	6.16617851086789	19.78639007798208	PPP2CB;PRKACA
Ebola Virus Pathway on Host WP4217	7/129	0.04305042893182533	1.0	0	0	2.1748924204999147	6.8408698302322435	BST2;HLA-DMA;GSN;ITGA2;TYRO3;ASGR1;MAPK3
Genes related to primary cilium development (based on CRISPR) WP4536	6/103	0.04422228412323768	1.0	0	0	2.3347666206198805	7.281031463929472	ARL13B;BBS12;CEP19;WDR19;TULP3;LZTFL1
Signaling of Hepatocyte Growth Factor Receptor WP313	3/34	0.05220691871825585	1.0	0	0	3.536484734174231	10.44161352250808	HGF;MET;MAPK3
Fatty Acid Omega Oxidation WP206	2/15	0.05264396193280757	1.0	0	0	5.344021376085505	15.733887669292315	ALDH2;ALDH1A1
