X1,TB_status_limma_logFC,TB_status_limma_AveExpr,TB_status_limma_t,TB_status_limma_P.Value,TB_status_limma_padj,TB_status_limma_B
SPINK1,-60.8371009546254,22.0818039227193,-13.4898842703521,2.57684154725458e-21,3.9222105190762e-17,12.9407141544423
TP53BP1,-29.5905826234677,72.2220926513315,-12.475442946178,1.32413523183854e-19,1.00773311819072e-15,11.8999603843523
ZNF428,32.1830293285986,60.2750622422583,12.2923390777684,2.73271471691548e-19,1.38648835687235e-15,11.6993654086889
GZMM,52.8355791312997,74.4816383203663,11.1364870277115,2.89715822855795e-17,1.10244113492202e-13,10.3375354968369
PLBD1,49.8143457235791,85.0919260586571,10.9087252341784,7.38861531232821e-17,2.12472164445762e-13,10.0490894513711
GEM,-54.2289413177895,39.3358572912122,-10.8562074161303,9.17572860949727e-17,2.12472164445762e-13,9.98161786304441
MARVELD1,35.1158952488082,53.8521284884775,10.8409708265194,9.77140234623435e-17,2.12472164445762e-13,9.96197520278556
SPI1,59.4225581359775,90.8927439022768,10.7157006006251,1.64028353659645e-16,3.12084446381681e-13,9.79932387996696
ANKRD37,-48.1178492264876,41.7102823213091,-10.6047804564212,2.59812784978612e-16,4.01108583604913e-13,9.65358010119249
SNORA18,-47.0346429830582,20.1491566260453,-10.6013651339162,2.63523148022412e-16,4.01108583604913e-13,9.64906676853411
JDP2,39.4677652810435,65.7451215971609,10.5585945989882,3.14760009474496e-16,4.35542009473755e-13,9.59241522286806
CLEC12B,38.6227887223713,49.7761308271581,10.4785410947752,4.3913604627317e-16,5.57007480026994e-13,9.48573060220498
CDH23,34.2555525263685,69.2685885521499,10.4007224924484,6.07329238248847e-16,6.93391419365436e-13,9.38121110764988
FGD4,33.6616051527816,65.6860441070453,10.3889972571508,6.37768863485717e-16,6.93391419365436e-13,9.36539317850744
ACPP,36.2839036666592,52.8611346351625,10.3396694042833,7.8356281587203e-16,7.95107308025878e-13,9.29864776910867
ODF3B,34.9338414971639,73.1490049364229,10.2824248831877,9.95290438757075e-16,9.4683223552009e-13,9.22078568640746
CCDC64,-32.1694761964549,74.4148906557819,-10.2109992083631,1.34193209429847e-15,1.20150284748923e-12,9.12302498062586
CEACAM4,42.238809385963,41.1608407764146,10.1667136162008,1.61544263465373e-15,1.3660362412258e-12,9.06207087715881
NCS1,-55.331934912378,38.5348386012466,-10.1489315996149,1.74044047939342e-15,1.39427602825512e-12,9.0375226670249
BLOC1S1,26.7626529058977,64.2636840618083,10.0953313014868,2.17917988896167e-15,1.61462408830095e-12,8.9632730100996
INO80B,32.3673300283784,37.5416170958756,10.0900889686127,2.22765296986531e-15,1.61462408830095e-12,8.95599060329728
LILRA5,58.8097129109682,78.0386671687627,10.0202735124112,2.986629863191e-15,2.06634059761955e-12,8.85865833004157
MARC1,38.407410170587,53.1854101751192,9.98081359728701,3.52553373184577e-15,2.33313691010541e-12,8.80335963802608
ASGR1,46.0265829668587,60.1766449877628,9.8682844790703,5.66185396310278e-15,3.4476315770336e-12,8.64452819583843
AIF1,48.7294035642856,44.8789374331199,9.86825223556993,5.66262331159845e-15,3.4476315770336e-12,8.64448244454791
FAM222A,-48.3503826428115,32.7688734895183,-9.76431489276837,8.77819938483139e-15,5.13896049371225e-12,8.49628714173607
SCIMP,31.3712387870376,62.9644720495084,9.723407495732,1.04334883490624e-14,5.88178245041031e-12,8.43756892755705
COQ10A,-25.4977465174944,66.7131949837456,-9.70470320840541,1.12914572016761e-14,6.13811678809686e-12,8.41064726527069
WAS,44.1201044045304,89.7910431338441,9.68696798162506,1.21703187647611e-14,6.38773868684237e-12,8.38507774361162
LOC644936,36.8683510320325,66.2602598438405,9.64289982966282,1.46631231693287e-14,7.43957992534505e-12,8.32136344840079
BTK,33.2019163469912,75.8466642979004,9.59678344454359,1.78226507255604e-14,8.75092150625015e-12,8.25441378430607
RAB37,31.4933994530109,80.5385755936908,9.58093301373726,1.90595990585947e-14,9.06581741471468e-12,8.23133821748538
PDIA3P1,22.4889020747016,74.731589192409,9.48235878451032,2.89401144483397e-14,1.33484085460054e-11,8.08708991207064
NMB,-34.7919184847014,49.549040159258404,-9.46136299162666,3.16350266021874e-14,1.36033206682206e-11,8.05620120678394
CCDC74A,-37.5620434150476,17.9860799963552,-9.4578697475956,3.21072292637503e-14,1.36033206682206e-11,8.05105639889579
H1F0,36.3057695662131,55.0339171307125,9.45738039563867,3.21739402178531e-14,1.36033206682206e-11,8.05033555972134
NFAM1,38.6391363727292,71.1437023419213,9.44413881795951,3.40328670257378e-14,1.4000385648615e-11,8.03081818301039
CORO1B,32.5574115324399,73.0460372976508,9.41468131266468,3.85640575429532e-14,1.54469347331919e-11,7.98731719678148
NCF1B,38.9136674369543,66.2006295391499,9.34083211997133,5.2767563587546e-14,2.05942329581035e-11,7.87776375236637
SLC24A4,30.640453105929,65.6647784442269,9.32316830572817,5.68800916199935e-14,2.1644296863698e-11,7.85145471072827
MRPL32,-21.8124504025001,75.91297276271,-9.29224877679776,6.48680259337273e-14,2.40818590911528e-11,7.80530464000202
LTBR,37.1063757628705,59.8522760759488,9.26061607477561,7.42062208498532e-14,2.68926877989432e-11,7.75796180518328
ALDH1A1,38.3995969743693,66.2134754750611,9.22596773148903,8.5989261114869e-14,3.04381986844051e-11,7.70595703342271
FUT7,39.6758140207167,47.1238212571826,9.19179103007941,9.94495240500124e-14,3.44027546719372e-11,7.65450828865153
GPBAR1,38.9621282692431,56.264389920238,9.17761664241703,1.05634141958092e-13,3.57301616609805e-11,7.63312635446092
TNFRSF10C,35.6383372194342,39.5011014075544,9.13856177610567,1.24743996341044e-13,4.12767036588486e-11,7.57407874377904
SLC39A11,26.1064921101725,64.9464583724839,9.12776534009168,1.30613656927608e-13,4.22993717467046e-11,7.55772089598751
ASCL2,34.7515903186477,61.5626489121908,9.11681601335655,1.36849340469211e-13,4.3395496068372e-11,7.54111613430217
BRSK1,36.6808422091603,35.778542119543,9.05865928212034,1.75331849105348e-13,5.44637974537245e-11,7.45266371629958
SIT1,31.2937379141416,63.5816233188527,9.0079723385976,2.17624758616165e-13,6.62493290179328e-11,7.37522045411975
LILRA2,36.5556311444973,72.4180636411332,8.97831317966718,2.46969906496233e-13,7.37084107211599e-11,7.32975359547086
TSPAN4,32.8355766449657,55.9768078981136,8.92255893176937,3.132959162053e-13,9.0072835626435e-11,7.24398218661668
CARD9,35.2052960222182,54.5490280962539,8.92230438462322,3.13636442296896e-13,9.0072835626435e-11,7.24358969577774
BST1,45.258818479512,72.2689721467699,8.91474627748041,3.23918240816856e-13,9.13029545087659e-11,7.23193199498465
PTP4A3,31.167939281074,59.3807992368984,8.89141524058645,3.57836805212733e-13,9.9029709311691e-11,7.19590062509093
SNHG12,-31.3333874784117,81.9164605396421,-8.87515535173573,3.83558468129989e-13,1.04252561489403e-10,7.17074916840144
CD1D,36.7218114409398,63.9291946915822,8.83867421222163,4.48212263183431e-13,1.19688401016053e-10,7.11419810347751
SLC7A11,-52.6126668673304,57.9763881981283,-8.82335911525442,4.78509404866972e-13,1.25575718128969e-10,7.09040789233701
CCDC184,-37.2052683649412,19.5343380277253,-8.76498315083781,6.14040575847373e-13,1.58412061101235e-10,6.99945982466509
LST1,41.3945807223564,47.3390207319777,8.75979139787072,6.27814966312343e-13,1.5926619337067e-10,6.99135073535897
HSPA2,-44.9205360088471,38.1629816122061,-8.74664967049337,6.64080843070557e-13,1.65704500202901e-10,6.97080952923708
SNORD76,-38.3219552789386,23.3052323597285,-8.7326997112107,7.04875745726149e-13,1.71950924382427e-10,6.94898165069473
MILR1,36.0517601867034,50.5139050472891,8.73044270274762,7.11708050462708e-13,1.71950924382427e-10,6.94544778977351
CACNA2D3,33.5219825522521,48.9059906674517,8.70743626652707,7.8525082097544e-13,1.867547304073e-10,6.90939013885729
PPP2CB,-23.7070416579229,74.2818009603473,-8.68246238174334,8.73723511482219e-13,2.04599162588782e-10,6.87017520942817
ZNF385A,44.0774162692426,70.1534433274582,8.6169063584964,1.15641831910576e-12,2.66694594471345e-10,6.76687326578347
SLC25A6,39.8556754754286,62.5769597371567,8.57677005640347,1.37300126378878e-12,3.11917197554165e-10,6.70336894416468
PPP1R9B,29.2490022508249,80.5403656610216,8.55929503584514,1.47957322824708e-12,3.31185060399248e-10,6.67565871789457
POTEE,37.7575829508855,29.3947395004363,8.53912816260616,1.61289508903138e-12,3.53725038464812e-10,6.6436342099792
HSPH1,-32.9186661161771,90.6898849773238,-8.53712902382356,1.62674940493639e-12,3.53725038464812e-10,6.64045695751483
ERF,29.9671917690085,58.1591148081731,8.53224446732828,1.66110324937312e-12,3.55059516586151e-10,6.63269185805117
MTA2,23.0234125219394,82.8304985614706,8.52966453164334,1.67954045031226e-12,3.55059516586151e-10,6.62858931333004
C1orf233,26.900299020625,49.0619762471311,8.52556025988013,1.70929419368291e-12,3.56399546877364e-10,6.62206116205345
APOBEC3A,52.2651061290733,76.9763797508426,8.49883730914486,1.91635102755234e-12,3.94172689059109e-10,6.57950690149788
ROGDI,26.0142808139792,68.4000080040157,8.4911159259532,1.98072576604133e-12,4.01981691798867e-10,6.56719526714841
ASGR2,38.7967933609906,62.1886674234649,8.47584802520013,2.11445828290992e-12,4.23475914791736e-10,6.54282986059047
SIGLEC10,26.2448145895484,69.4254807504754,8.44854424747853,2.37654310849082e-12,4.69007529210056e-10,6.49918767220239
FCRL4,-38.3115019382524,21.1480990998123,-8.44386863546693,2.42457815308589e-12,4.69007529210056e-10,6.49170531978757
SLC8A1,32.4641505145618,54.7033789541766,8.44073034886578,2.45736315854671e-12,4.69007529210056e-10,6.48668168534652
SDF2,-23.3832556226753,76.5925946392563,-8.44000012885754,2.46505501194432e-12,4.69007529210056e-10,6.48551261307125
EFNB2,-32.9622332901377,32.9666657148726,-8.42213605556764,2.66091969828027e-12,5.00022947253383e-10,6.45689280932291
C1RL,24.0228801558884,61.2789907114624,8.41183309083314,2.78088685799805e-12,5.16193644702297e-10,6.44036940639149
BAX,31.6751341886225,73.5773781649697,8.39931745513356,2.93392190334312e-12,5.38038858925128e-10,6.42028058293875
ZNF768,30.2206477235437,43.5937540577944,8.39577688140098,2.9787237414601e-12,5.39751834151955e-10,6.41459426654146
GGTA1P,31.8238237219514,60.2244396020106,8.37946955717469,3.19407484371748e-12,5.65860948387844e-10,6.3883849617417
