Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Osteoclast differentiation	19/127	3.8646762150385655E-10	1.1903202742318782E-7	0	0	5.996244457418775	129.96244062145792	CSF1R;SPI1;NCF1;IL1R1;NCF4;LILRB1;LILRA1;LILRB2;LILRA2;LILRB3;SIRPB1;LILRA4;OSCAR;LILRA5;FCGR3B;BTK;FCGR2B;MAP2K6;MAPK3
Hematopoietic cell lineage	13/97	8.576551425182706E-7	1.3207889194781367E-4	0	0	5.37156787802409	75.03577412584775	CSF1R;IL11;CSF2;CR1;IL1R1;FLT3;ITGA2;CD1D;CD1C;CD4;CD36;CD33;HLA-DPA1
Phagosome	15/152	6.397016133466825E-6	6.567603230359275E-4	0	0	3.955278979010653	47.30386657049517	NCF1;ITGA2;NCF4;ITGB2;CYBB;TCIRG1;CORO1A;TUBB4A;MARCO;FCGR3B;CLEC7A;CD36;FCGR2B;ATP6V0A1;HLA-DPA1
Leishmaniasis	8/74	5.052485663868721E-4	0.03890413961178915	0	0	4.332990304934193	32.88938975948774	FCGR3B;CR1;NCF1;ITGB2;NCF4;CYBB;HLA-DPA1;MAPK3
Tuberculosis	13/179	5.76187113783391E-4	0.03549312620905689	0	0	2.9108496322253448	21.71225474325896	CR1;ITGB2;CARD9;TCIRG1;CORO1A;FCGR3B;CLEC7A;BAX;FCGR2B;CTSD;ATP6V0A1;HLA-DPA1;MAPK3
Staphylococcus aureus infection	7/68	0.0015041019724452063	0.07721056791885392	0	0	4.125898856536603	26.81652409788667	FCGR3B;ITGB2;PTAFR;FPR1;FPR2;FCGR2B;HLA-DPA1
Transcriptional misregulation in cancer	12/186	0.002533587378994733	0.11147784467576825	0	0	2.5858167948800825	15.458320626294269	CSF1R;LYL1;CCNA1;HHEX;CSF2;SPI1;FLT3;LMO2;BAX;BAK1;MET;MLF1
MAPK signaling pathway	16/295	0.0031719521536062406	0.12212015791384026	0	0	2.1738392038313914	12.5069839949593	DUSP4;CSF1R;IL1R1;FLT3;CACNA2D3;ARRB1;HSPA2;RASGRP2;PPP5C;RRAS;FGF18;PRKACA;MET;HSPA1B;MAP2K6;MAPK3
Human T-cell leukemia virus 1 infection	13/219	0.0035233442335612466	0.12057666932631822	0	0	2.3791875989421767	13.43847160304346	SPI1;CSF2;IL1R1;ITGB2;CCNA1;CD4;BAX;LTBR;PRKACA;HLA-DPA1;CREB5;SLC25A6;MAPK3
Lysosome	9/123	0.003727286238698658	0.11480041615191867	0	0	2.9326946576078985	16.39984806705916	ARSA;SORT1;LAMP3;GAA;CTSZ;ARSG;TCIRG1;CTSD;ATP6V0A1
Acute myeloid leukemia	6/66	0.0060084063733457	0.1682353784536796	0	0	3.6436509382401168	18.63580152341661	CCNA1;CSF1R;CSF2;SPI1;FLT3;MAPK3
Fc epsilon RI signaling pathway	6/68	0.006943799841148308	0.17822419592280658	0	0	3.536484734174231	17.575997147562024	CSF2;ALOX5;BTK;FCER1A;MAPK3;MAP2K6
Malaria	5/49	0.007324473061140072	0.1735336694485494	0	0	4.089812277616457	20.107701377090194	CR1;LRP1;ITGB2;CD36;MET
Vibrio cholerae infection	5/50	0.007975304632425061	0.17545670191335133	0	0	4.008016032064129	19.364350431332927	KDELR1;KCNQ1;TCIRG1;PRKACA;ATP6V0A1
Chemokine signaling pathway	11/190	0.008357552293819254	0.17160840709975536	0	0	2.3204303343529165	11.10230703688346	CX3CR1;GSK3A;NCF1;CCL7;GNG4;CXCR2;WAS;ARRB1;PRKACA;RASGRP2;MAPK3
Prion diseases	4/35	0.010871546016994462	0.2092772608271434	0	0	4.580589750930432	20.711623750761266	PRNP;BAX;PRKACA;MAPK3
Legionellosis	5/55	0.011837257246385426	0.21446324893451243	0	0	3.6436509382401168	16.165069513023667	PYCARD;CR1;ITGB2;HSPA2;HSPA1B
Protein processing in endoplasmic reticulum	9/165	0.022918155816293105	0.3921551106343487	0	0	2.18619056294407	8.254674845269017	PDIA3;GANAB;BAX;CAPN1;HSPA2;BAK1;RNF185;DDOST;HSPA1B
Central carbon metabolism in cancer	5/65	0.022993427277539353	0.3727355579727432	0	0	3.083089255433945	11.631098734191264	HK3;FLT3;SLC16A3;MET;MAPK3
Rheumatoid arthritis	6/91	0.02632803026304029	0.4054516660508205	0	0	2.6426479332290955	9.611630605068365	IL11;CSF2;ITGB2;TCIRG1;HLA-DPA1;ATP6V0A1
Biosynthesis of unsaturated fatty acids	3/27	0.028968891579981497	0.4248770765063953	0	0	4.45335114673792	15.77168883942596	FADS2;ELOVL4;FADS1
Melanoma	5/72	0.033872830469891285	0.47421962657847794	0	0	2.7833444667112004	9.42201638555587	FGF18;BAX;BAK1;MET;MAPK3
Cytokine-cytokine receptor interaction	13/294	0.03390489849475911	0.45403081462546985	0	0	1.7722519869671316	5.997647689478799	CX3CR1;IL11;CSF1R;CSF2;IL1R1;TNFSF12;TNFRSF10C;IL36G;CD4;CCL7;CXCR2;LTBR;IL13RA1
