Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell_Homo sapiens_R-HSA-198933	17/157	4.2144500605678884E-7	6.448108592668869E-4	0	0	4.339889971024852	63.70774700486091	SIGLEC10;ITGB2;LILRB1;CD1D;LILRA1;LILRB2;CD1C;LILRA2;LILRB3;LILRA4;OSCAR;LILRA5;CD300LB;CD300LF;FCGR2B;SIGLEC7;CD33
Immune System_Homo sapiens_R-HSA-168256	68/1547	3.32878064392206E-6	0.002546517192600376	0	0	1.761765288819397	22.22097732876919	FCN1;GSK3A;CSF2;NCF1;FLT3;NCF4;ITGB2;ARRB1;TCIRG1;SIRPB1;PYCARD;FCER1A;CD36;PRKACA;CTSD;CD33;HLA-DPA1;DUSP4;PDIA3;ZBP1;IL11;CR1;IL1R1;PPP2R5B;CYBB;DDOST;OSCAR;BTK;TLR8;TLR7;CSF1R;PHLPP1;UNC93B1;PTAFR;WAS;PLD4;CD1D;LILRA1;MEFV;CD1C;LILRA2;RASGRP2;SAMHD1;LILRA4;LILRA5;CLEC7A;CD300LB;CD300LF;MAP2K6;ATP6V0A1;MAPK3;RAP1GAP2;TNFSF12;CARD9;SIGLEC10;LY86;IL36G;LILRB1;LILRB2;LILRB3;BST2;PPP5C;GZMM;CD4;FGF18;LTBR;FCGR2B;SIGLEC7
Cross-presentation of particulate exogenous antigens (phagosomes)_Homo sapiens_R-HSA-1236973	4/8	2.4748366871791384E-5	0.012621667104613606	0	0	20.04008016032064	212.56014140490592	NCF1;NCF4;CYBB;CD36
Adaptive Immune System_Homo sapiens_R-HSA-1280218	35/762	4.116154870426715E-4	0.15744292379382185	0	0	1.8409522456987466	14.350997664069926	GSK3A;PHLPP1;NCF1;NCF4;ITGB2;WAS;CD1D;LILRA1;CD1C;LILRA2;RASGRP2;LILRA4;LILRA5;CD300LB;CD36;PRKACA;CD300LF;CTSD;CD33;HLA-DPA1;MAPK3;PDIA3;RAP1GAP2;SIGLEC10;PPP2R5B;CYBB;LILRB1;LILRB2;LILRB3;OSCAR;CD4;FGF18;BTK;FCGR2B;SIGLEC7
Linoleic acid (LA) metabolism_Homo sapiens_R-HSA-2046105	3/8	7.873424749607618E-4	0.2409267973379931	0	0	15.030060120240481	107.41754367338736	FADS2;ABCD1;FADS1
ROS, RNS production in response to bacteria_Homo sapiens_R-HSA-1222556	5/34	0.0014501861279308413	0.3697974626223645	0	0	5.894141223623718	38.52448052986787	NCF1;NCF4;CYBB;TCIRG1;ATP6V0A1
Innate Immune System_Homo sapiens_R-HSA-168249	34/807	0.0021342853728316	0.4664938029189068	0	0	1.6886312898411444	10.384446508025295	FCN1;GSK3A;PHLPP1;CSF2;UNC93B1;ITGB2;WAS;PLD4;ARRB1;MEFV;RASGRP2;SIRPB1;PYCARD;CLEC7A;CD300LB;FCER1A;CD36;PRKACA;MAP2K6;MAPK3;DUSP4;ZBP1;CR1;CARD9;LY86;PPP2R5B;DDOST;PPP5C;GZMM;CD4;FGF18;BTK;TLR8;TLR7
Toll-Like Receptors Cascades_Homo sapiens_R-HSA-168898	10/140	0.002726960923334382	0.5215312765877006	0	0	2.86286859433152	16.904000872502248	DUSP4;UNC93B1;ITGB2;BTK;LY86;TLR8;TLR7;CD36;MAP2K6;MAPK3
RHO GTPases Activate NADPH Oxidases_Homo sapiens_R-HSA-5668599	3/13	0.003663762206263562	0.6228395750648055	0	0	9.249267766301834	51.8815914997403	NCF1;NCF4;CYBB
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism_Homo sapiens_R-HSA-2046104	3/13	0.003663762206263562	0.560555617558325	0	0	9.249267766301834	51.8815914997403	FADS2;ABCD1;FADS1
alpha-linolenic acid (ALA) metabolism_Homo sapiens_R-HSA-2046106	3/13	0.003663762206263562	0.5095960159621136	0	0	9.249267766301834	51.8815914997403	FADS2;ABCD1;FADS1
Trafficking and processing of endosomal TLR_Homo sapiens_R-HSA-1679131	3/13	0.003663762206263562	0.4671296812986041	0	0	9.249267766301834	51.8815914997403	UNC93B1;TLR8;TLR7
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion_Homo sapiens_R-HSA-399955	3/14	0.004577314156467726	0.5387146661073554	0	0	8.58860578299456	46.26375220376285	RRAS;FES;PLXNA1
Rap1 signalling_Homo sapiens_R-HSA-392517	3/16	0.006786174399265903	0.7416319164912022	0	0	7.515030060120241	37.52155245306602	RAP1GAP2;RASGRP2;PRKACA
CRMPs in Sema3A signaling_Homo sapiens_R-HSA-399956	3/16	0.006786174399265903	0.692189788725122	0	0	7.515030060120241	37.52155245306602	FES;DPYSL3;PLXNA1
Synthesis of Lipoxins (LX)_Homo sapiens_R-HSA-2142700	2/6	0.008718577527855507	0.8337139761011829	0	0	13.36005344021376	63.357370499766176	ALOX5;PTGR1
Hemostasis_Homo sapiens_R-HSA-109582	23/552	0.011919558087126626	1.0	0	0	1.67000668002672	7.397419324081153	NFE2;SERPINB2;CSF2;ITGA2;ITGB2;PPP2R5B;ARRB1;SLC7A11;RASGRP2;DGKZ;SLC8A1;KIF27;SPN;CLEC3B;GNG4;P2RX1;MYB;SERPING1;CD36;PRKACA;SLC16A3;SH2B2;MAPK3
Glucose metabolism_Homo sapiens_R-HSA-70326	6/79	0.01404703110254987	1.0	0	0	3.044062809162629	12.9839756930319	HK3;PFKFB4;GAA;PYGL;PRKACA;FBP1
