Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TYROBP Causal Network WP3945	9/61	1.908816792304933E-5	0.009009615259679284	0	0	5.913466276815927	64.25833769705875	PYCARD;LYL1;CD4;ADAP2;ITGB2;DPYD;SPP1;TCIRG1;IL13RA1
Human Complement System WP2806	10/97	1.542121092334284E-4	0.036394057779089106	0	0	4.131975290787761	36.26709737214078	FCN1;PRNP;CR1;ITGA2;ITGB2;FPR1;WAS;SPP1;SERPING1;PRKACA
Hematopoietic Stem Cell Differentiation WP2849	7/55	4.156001892448501E-4	0.06538776310785642	0	0	5.101111313536163	39.71616535157713	LYL1;NFE2;CSF2;SPI1;MYB;LMO2;CBFA2T3
Microglia Pathogen Phagocytosis Pathway WP3937	5/40	0.003034158157212663	0.3580306625510942	0	0	5.01002004008016	29.047200757168117	NCF1;ITGB2;NCF4;CYBB;SIGLEC7
MAPK Signaling Pathway WP382	14/246	0.003666970500706115	0.34616201526665724	0	0	2.2809847336950324	12.792650680610546	DUSP4;IL1R1;LRRK2;CACNA2D3;ARRB1;HSPA2;RASGRP2;PPP5C;RRAS;FGF18;PRKACA;HSPA1B;MAP2K6;MAPK3
Prion disease pathway WP3995	4/33	0.008834014495511208	0.6949424736468818	0	0	4.858201250986823	22.975141676962267	PDIA3;PRNP;SPI1;MAPK3
Regulation of Apoptosis by Parathyroid Hormone-related Protein WP3872	3/22	0.016710758224010344	1.0	0	0	5.465476407360175	22.36310381821747	GSK3A;BAX;BAK1
Glycogen Synthesis and Degradation WP500	4/40	0.01721887297349511	1.0	0	0	4.008016032064129	16.27955603534299	HK3;GSK3A;PPP2R5B;PYGL
Viral Acute Myocarditis WP4298	6/84	0.018533274840186447	0.9719673027297782	0	0	2.86286859433152	11.417656806480785	PYCARD;CD4;ITGB2;BAX;AIF1;MAPK3
Vitamin A and Carotenoid Metabolism WP716	4/43	0.021940344052406784	1.0	0	0	3.728387006571282	14.240306259941201	SULT1A1;RBP7;ALDH1A1;CD36
Chemokine signaling pathway WP3929	9/164	0.022136740098422415	0.9498673933141254	0	0	2.199520993205924	8.381311263044642	CX3CR1;NCF1;CCL7;GNG4;CXCR2;WAS;ARRB1;RASGRP2;MAPK3
Interleukin-11 Signaling Pathway WP2332	4/44	0.023672733930621675	0.9311275346044526	0	0	3.6436509382401168	13.639757187825374	IL11;FES;ITGA2;MAPK3
