	TB_status_limma_logFC	TB_status_limma_AveExpr	TB_status_limma_t	TB_status_limma_P.Value	TB_status_limma_padj	TB_status_limma_B
STRIP1	1.01721726	5.962498493	10.92008556	6.04E-13	7.86E-09	19.28994585
MED7	-0.975259422	3.335354083	-10.87953397	6.69E-13	7.86E-09	19.19252772
GGT7	1.236369696	5.085976658	10.75078728	9.30E-13	7.86E-09	18.88167173
MASP2	1.434260307	4.126155885	10.56592684	1.50E-12	9.49E-09	18.43116068
MED23	1.105252109	5.929796472	10.06354713	5.58E-12	2.83E-08	17.18194243
ZNF212	1.194714077	4.867642828	9.897766535	8.68E-12	3.67E-08	16.76171941
ATG16L1	1.068444769	6.344456598	9.644152723	1.72E-11	6.22E-08	16.11120428
HNRNPH1	1.512710412	9.764138859	9.488920334	2.62E-11	7.69E-08	15.7084906
MAP3K4	1.210845253	5.310191274	9.473749739	2.73E-11	7.69E-08	15.66894977
GNPTAB	0.976261528	6.602064127	9.208731831	5.65E-11	1.35E-07	14.97294123
SLC5A6	1.642367828	4.9508005	9.195253505	5.86E-11	1.35E-07	14.93727877
NEIL1	2.035727405	4.807693543	9.123461417	7.15E-11	1.45E-07	14.74689431
ZFYVE27	1.379500302	5.546872523	9.109500581	7.44E-11	1.45E-07	14.70978805
GOLGA8A	2.041977874	6.924654116	9.070415646	8.29E-11	1.48E-07	14.6057603
RNF216	1.126301001	6.94082377	9.051656336	8.73E-11	1.48E-07	14.55575532
KANSL3	1.237777899	6.42463277	9.0013206	1.00E-10	1.59E-07	14.42133845
RBM19	1.255069935	5.594442776	8.926198877	1.24E-10	1.83E-07	14.22008081
YTHDC2	0.971690616	6.346904611	8.909248599	1.30E-10	1.83E-07	14.17456195
ZNF548	0.992557282	5.41250706	8.866865642	1.46E-10	1.95E-07	14.06057262
DIDO1	0.980274508	6.947048082	8.822751539	1.66E-10	2.10E-07	13.94166607
RHOT2	0.955715893	7.992027978	8.751080129	2.03E-10	2.18E-07	13.7479152
DCAF8	1.414565754	6.713593664	8.748087693	2.05E-10	2.18E-07	13.73981051
ZBTB40	1.666524638	6.595301478	8.728860621	2.16E-10	2.18E-07	13.68770718
NOL4L	1.47319767	6.438725367	8.724355745	2.19E-10	2.18E-07	13.67549222
SEC61A2	0.95817028	4.102389882	8.719001051	2.22E-10	2.18E-07	13.6609694
ESCO1	0.859809648	4.61155552	8.70216515	2.33E-10	2.18E-07	13.61528245
SUGP2	1.218849109	7.748825267	8.699864592	2.34E-10	2.18E-07	13.60903655
RALGPS1	1.256329307	3.952114797	8.670742613	2.54E-10	2.18E-07	13.52991015
MTA1	1.501000775	6.312482074	8.654864166	2.66E-10	2.18E-07	13.48671931
IL11RA	2.094701144	5.710789394	8.646618392	2.72E-10	2.18E-07	13.4642767
SARNP	-0.970630598	5.357495803	-8.631227251	2.85E-10	2.18E-07	13.42236211
HPS4	1.364697189	5.167816152	8.621049196	2.93E-10	2.18E-07	13.39462687
GLUD1P3	1.773707635	3.391607217	8.607721604	3.04E-10	2.18E-07	13.35828821
PSD	1.780789425	2.345150799	8.60629725	3.06E-10	2.18E-07	13.3544032
ENTHD2	1.673042933	6.315506654	8.596215491	3.14E-10	2.18E-07	13.32689689
SCAF4	1.100920697	5.711636572	8.585449794	3.24E-10	2.18E-07	13.29750962
CELF6	1.61032545	3.312235599	8.58328166	3.26E-10	2.18E-07	13.29158937
SLC11A2	1.230420211	5.822325086	8.582497658	3.27E-10	2.18E-07	13.28944844
VAMP1	2.046531268	5.60622567	8.564426983	3.44E-10	2.21E-07	13.24007893
LMBR1L	1.573499894	5.91729798	8.560576832	3.48E-10	2.21E-07	13.22955463
TSPYL2	1.970714713	6.51933105	8.539570041	3.69E-10	2.29E-07	13.1720984
HIP1R	2.818369179	5.287993102	8.487765979	4.28E-10	2.59E-07	13.03015854
PAPD7	1.098702684	6.596290869	8.46158353	4.61E-10	2.67E-07	12.95828596
TOM1L2	1.707367306	5.221488504	8.455567696	4.69E-10	2.67E-07	12.94175939
WDR59	1.326807167	5.624891754	8.452057978	4.74E-10	2.67E-07	12.93211538
SAMD4B	1.213181208	5.637460165	8.423471019	5.14E-10	2.84E-07	12.85350415
SNORA67	1.632016887	4.283637875	8.415139191	5.27E-10	2.84E-07	12.83057241
TXNDC12	-0.965713443	6.234476158	-8.396587486	5.56E-10	2.91E-07	12.77948001
SF1	1.266029294	8.74788662	8.392805633	5.62E-10	2.91E-07	12.76905909
APPL2	0.794041559	5.550104613	8.382929769	5.78E-10	2.93E-07	12.74183735
NCOA2	1.658372232	4.664839816	8.373794941	5.93E-10	2.95E-07	12.71664695
XPO4	1.049711006	5.360577246	8.364528755	6.09E-10	2.96E-07	12.69108328
NAA16	1.036495343	6.023786242	8.359746994	6.18E-10	2.96E-07	12.67788696
GPRASP1	2.08229506	5.194022841	8.323705454	6.85E-10	3.22E-07	12.57832756
NLRP1	2.137456909	8.377599557	8.317425019	6.97E-10	3.22E-07	12.5609617
CYTH1	1.073951739	8.610686662	8.298540869	7.36E-10	3.29E-07	12.50871518
EML2	1.076641446	5.456291203	8.297618467	7.38E-10	3.29E-07	12.50616201
KLHL36	0.849169213	5.229597255	8.248227123	8.51E-10	3.68E-07	12.36929055
ATP5EP2	-1.656146239	6.998023836	-8.246289912	8.56E-10	3.68E-07	12.3639159
MAP2K7	1.269133405	6.104960529	8.232616245	8.90E-10	3.74E-07	12.32596577
PHKA2	0.770220618	5.794022226	8.229128082	8.99E-10	3.74E-07	12.31628087
RAB11A	-0.935049845	6.670306347	-8.222745385	9.16E-10	3.75E-07	12.2985553
GUSBP11	1.727433098	5.613799944	8.207613131	9.57E-10	3.84E-07	12.25651054
UBE2NL	-1.380189849	1.24048364	-8.199089279	9.81E-10	3.84E-07	12.23281443
ARHGEF7	1.134225769	6.122091124	8.198221906	9.83E-10	3.84E-07	12.23040264
SNRNP70	1.658340912	7.922822105	8.178910235	1.04E-09	4.00E-07	12.17668073
ATAD3B	1.29765348	4.998754473	8.160336383	1.10E-09	4.15E-07	12.12496719
AP1G1	1.515911607	6.44975596	8.151932394	1.12E-09	4.16E-07	12.10155453
DDHD1	1.28244116	6.042842536	8.149943303	1.13E-09	4.16E-07	12.09601183
C1QTNF6	2.002858589	3.468967246	8.132995366	1.19E-09	4.30E-07	12.04876561
NRIP2	1.283316194	4.167887633	8.099005445	1.31E-09	4.68E-07	11.95390344
OSBP	0.879132838	5.646849448	8.078448999	1.39E-09	4.90E-07	11.8964633
TRAF1	2.384753155	5.886884966	8.065744489	1.44E-09	4.95E-07	11.86093753
PIGL	1.561860698	3.092910441	8.065604428	1.44E-09	4.95E-07	11.86054576
ATG2B	1.176273277	6.109323129	8.054449404	1.49E-09	5.04E-07	11.8293363
PRPF4B	0.677155515	7.809027663	8.045280203	1.53E-09	5.06E-07	11.80367135
DENND1C	1.466421983	7.009062689	8.039335274	1.56E-09	5.06E-07	11.78702577
TMPRSS5	1.341827678	1.410845035	8.036601953	1.57E-09	5.06E-07	11.77937112
