"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"SYNCRIP",7.53690823693973,7.46063872280974,236.434595553382,2.19057818457002e-57,5.55705873861722e-53,120.716931047384
"ZNF655",8.13077169022175,7.95789842319647,220.262375623087,2.57460290188279e-56,3.26562632074813e-52,118.446126518487
"GNAS",9.51658793314045,9.562214796649,214.111816631947,6.89355126060152e-56,5.82918694596464e-52,117.529444028343
"CNOT8",7.13571963186998,7.04934741457743,205.464316693224,2.89099095540643e-55,1.74092503073183e-51,116.186560789198
"SRSF3",8.46251781893268,8.51933073193179,204.454331816205,3.43134072597728e-55,1.74092503073183e-51,116.025399290381
"PTPN2",6.21628871651562,6.12890037906809,198.372539733477,9.8059233723084e-55,4.14594440181199e-51,115.03489174494
"TPT1",11.8088319531558,11.9045761601796,193.369737091955,2.38339429834097e-54,8.63742093718768e-51,114.193330911827
"UBE2D3",8.63578331522506,8.70714818483868,189.750684626337,4.59705103901834e-54,1.32635250101887e-50,113.56874100514
"ANXA11",7.90069957416914,8.02203589705617,189.623353550995,4.70560253436213e-54,1.32635250101887e-50,113.54651713643
"GRB2",8.54266418709661,8.7179381902634,188.886383529421,5.38783051718658e-54,1.36678484559989e-50,113.417552355501
"P4HB",8.55654777839336,8.73401036825531,188.358416512862,5.93852226356817e-54,1.36953120711088e-50,113.324806791011
"ARF1",8.56430730030683,8.63631589701741,183.2590732383,1.54199376162379e-53,3.25977481207269e-50,112.41344594351
"ABI1",7.0847975388903,6.99998938688245,182.518368671959,1.77513858006735e-53,3.46397811531912e-50,112.278665628716
"ACTG1",10.3384240616986,10.5409363910688,176.086550243707,6.17835801854912e-53,1.1195184729611e-49,111.081595941275
"ICAM3",7.91334580457026,8.08562169618553,172.075682442779,1.37634041704982e-52,2.32766691331466e-49,110.309856143397
"SRSF2",9.01347182705688,8.97581805569364,170.06302122847,2.07175954922438e-52,3.28477476529525e-49,109.914950165855
"UBA52",9.2513498317292,9.38310859377882,168.391108189283,2.92068292367976e-52,4.17621907494837e-49,109.582905484506
"HNRNPU",9.06575324144487,8.98209048616246,168.264117503618,2.99828608376857e-52,4.17621907494837e-49,109.557534563536
"CDV3",8.30420968285058,8.3658504691628,168.059397436616,3.1278840438355e-52,4.17621907494837e-49,109.516589388953
"MORF4L1",6.65101014247544,6.730263849455,167.213740710164,3.7273661888293e-52,4.72779127391108e-49,109.346861521407
"CD164",8.01533443819111,8.09686243006392,166.303210660031,4.50636177506375e-52,5.44368502427701e-49,109.163040005454
"RAD23A",7.16686866310179,7.07184654420645,164.105992596886,7.15473656789121e-52,8.25006169337565e-49,108.714803706817
"WDR1",8.42147985726056,8.40055401841944,161.872718721754,1.1519203287158e-51,1.27051803908098e-48,108.252328776237
"COPA",7.53822751848806,7.43467251789842,160.957066446641,1.40296582450525e-51,1.48293487650205e-48,108.060663900267
"CBX3",6.81118391316287,6.88876746712449,160.469272751124,1.55905095210931e-51,1.58200018212436e-48,107.958065342732
"EEF2",10.971758830639,10.9138528008496,158.979157680046,2.15613492982626e-51,2.10372426537817e-48,107.642498345544
"TERF2IP",7.17783784728966,7.10648806106023,158.104673836692,2.61173274720432e-51,2.45386801226219e-48,107.45578123481
"GNB1",8.56643423934166,8.6625414983476,156.146069730979,4.02782492082949e-51,3.60068994657378e-48,107.033423050933
"NSMAF",6.13628671803342,6.07475418983239,156.048572296159,4.11620973078837e-51,3.60068994657378e-48,107.012246268362
"U2SURP",7.36350182742551,7.19959854097119,154.496758949763,5.82554236766562e-51,4.81962822656289e-48,106.673214947019
"SP100",8.086519964171,7.97081974723314,154.448115212831,5.88964344936336e-51,4.81962822656289e-48,106.662527134577
"VCP",7.70752223646779,7.81879166316452,153.882113961786,6.69112293682187e-51,5.30438770816554e-48,106.537895187058
"SLC38A2",7.9574153747396,7.77899838061507,153.44986686269,7.37822467288106e-51,5.67184253035293e-48,106.442376265271
"PTMA",9.4427004867516,9.62206971303935,153.009306841561,8.15349989364462e-51,6.08347015594049e-48,106.344716171953
"RPS9",9.49391537531552,9.64585917698165,152.382192208077,9.40428964948663e-51,6.64686508962735e-48,106.205169074806
"HSPA5",8.52762938272934,8.38831663014859,152.368994596289,9.43263730789122e-51,6.64686508962735e-48,106.202225552609
"SRP14",7.14333810422677,7.36743168359226,151.755601767985,1.08520217598446e-50,7.44038075685781e-48,106.06510887366
"CAPRIN1",7.06408691384639,6.91029553353255,151.344260863126,1.19253922809556e-50,7.96114082587584e-48,105.97281819873
"ARL6IP4",7.30891003381674,7.3624522186601,150.604923514532,1.41376416732291e-50,9.00191054801862e-48,105.806244497668
"TMBIM6",8.81656801676882,9.05813963845819,150.587645005302,1.41941194386922e-50,9.00191054801862e-48,105.802340940189
"TRIP12",7.94684025272995,7.82327739856317,149.96958769077,1.63747549462297e-50,9.94325500525337e-48,105.662386698018
"GPI",7.05631223450935,7.02654040984613,149.946565711495,1.64623427239294e-50,9.94325500525337e-48,105.657161382266
"STAU1",6.18960165600532,6.05549816666268,149.648560605296,1.76406098387657e-50,1.04071393113909e-47,105.589443747313
"DEK",7.25362885000474,7.3763705517797,149.273654284248,1.92472013767162e-50,1.10968864664667e-47,105.50404188924
"NCL",8.87094789592074,8.76655300879634,149.142273140634,1.98451996416821e-50,1.11874005446709e-47,105.474058478558
"SURF4",7.20079593374549,7.1531705367881,148.046424360898,2.5641672042671e-50,1.41408247038799e-47,105.222838956748
"PIGT",6.287215332278,6.19874154755549,147.557600169124,2.87643707429458e-50,1.5525416106533e-47,105.110123050149
"HNRNPH3",8.15904880288254,8.01334024243412,147.444433926325,2.95415004642378e-50,1.56126829953497e-47,105.083970525534
"EIF4A2",9.16363065753187,9.02686877183952,147.25821071174,3.08676623703134e-50,1.59806297757165e-47,105.040887031697
"MTCH1",7.91671001444443,7.859987681114,146.495711911252,3.69694601496498e-50,1.86225840380025e-47,104.863859007598
"COPB1",7.07983799691379,6.86104640915652,146.432268265819,3.7530092558063e-50,1.86225840380025e-47,104.849084235652
"PRPF4B",8.10185166882682,7.80902766253854,146.294171274621,3.8780854791256e-50,1.86225840380025e-47,104.816900080731
"LAPTM5",10.6717353201167,10.9067281166508,146.280480858824,3.89071646962367e-50,1.86225840380025e-47,104.813707664211
"USP7",7.94257924535109,7.80122141797136,145.92104347889,4.23793023472405e-50,1.99088544804592e-47,104.72977534557
"KCTD20",6.723006081913,6.72818685496741,145.485582135681,4.70167285646487e-50,2.16858249132365e-47,104.627788980011
"CYBA",8.62946962851563,8.90133651903714,145.407343921418,4.79037392535953e-50,2.17003938818787e-47,104.609430191827
"ENSA",6.70796436062708,6.91953559742763,144.588138486878,5.82937779864037e-50,2.59437992975279e-47,104.416554653371
"NPEPPS",6.68819471618394,6.50878801176523,144.454031154631,6.02038525718931e-50,2.60335917610196e-47,104.384867105377
"POLR2B",7.06163677955794,6.84621871379467,144.430333674368,6.05480098509995e-50,2.60335917610196e-47,104.379264426524
"VHL",7.02084586588506,7.09523851384703,144.299216239625,6.24891409949145e-50,2.64204088126499e-47,104.348246929552
"UBXN4",7.7088849922561,7.583712906735,143.90011051755,6.88012741392971e-50,2.86123069240277e-47,104.253644802845
"GUK1",7.39360468858853,7.44836534854548,143.517941391556,7.54611349267693e-50,3.0459428892065e-47,104.162790069437
"H2AFV",7.08342312633009,7.08435910824539,143.507928662693,7.56442770498302e-50,3.0459428892065e-47,104.160406173494
"NADSYN1",7.46933987588195,7.3786809736322,142.537184848349,9.57612502377287e-50,3.79573655629797e-47,103.928424967263
"WDR26",7.99264431768168,7.75445355427666,142.18752059446,1.04291727933832e-49,4.07026546803915e-47,103.84444514388
"NT5C2",6.50186320487559,6.51341831069375,141.992504261953,1.0938521931592e-49,4.20437006607011e-47,103.797510332208
"PTPRJ",7.4698879072511,7.46976275884381,141.745467748502,1.16206969971031e-49,4.39990808093301e-47,103.737955471934
"ARPC3",7.68268483873884,7.85467528297201,141.510279531503,1.23108496849111e-49,4.54124977867403e-47,103.681152489059
"HNRNPA2B1",9.92650674628994,9.67342403756341,141.496678842947,1.23520275436971e-49,4.54124977867403e-47,103.677864507924
"CAPZB",8.05957977893028,8.20981633256567,141.394277742235,1.26666451257353e-49,4.59039219356646e-47,103.653097946652
"LRRFIP1",8.61910871715541,8.77411721165121,141.293696200146,1.29837019357454e-49,4.63902184092944e-47,103.628752562558
"HNRNPC",8.04937012103393,7.97903948312326,141.080060741107,1.36845054344234e-49,4.82150741472853e-47,103.576980648645
"DCAF5",7.17724652800619,7.01976978653488,140.98206014905,1.40188910573388e-49,4.871660662227e-47,103.553203039695
"ANKLE2",7.36078165296087,7.09708797905242,140.500906501561,1.5786843069748e-49,5.41190047288334e-47,103.436202227476
"ACTB",11.9655204601244,12.1788174394073,140.432994976679,1.60542439286959e-49,5.43018746644209e-47,103.419653494826
