"","Database_selected","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","link"
"1","Reactome_2016","HIV Infection_Homo sapiens_R-HSA-162906","25/222",0,6e-07,0,0,4.5045045,97.8321015,"POM121;CCNT2;PSMD14;VPS4A;AP2A2;PSMA7;PSMD8;PSMB4;POLR2A;PSMB3;AP1G1;POLR2B;PSMB1;TCEB2;B2M;KPNA1;SUPT5H;GTF2H5;RBX1;PSMA6;PSMA4;PACS1;PSMA2;NUP98;TAF1","http://www.reactome.org/download/index.html"
"2","Reactome_2016","Host Interactions of HIV factors_Homo sapiens_R-HSA-162909","18/129",0,2.8e-06,0,0,5.5813953,108.4305512,"POM121;PSMD14;AP2A2;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;AP1G1;PACS1;PSMA2;PSMB3;PSMB1;TCEB2;NUP98;B2M;KPNA1","http://www.reactome.org/download/index.html"
"3","Reactome_2016","Vif-mediated degradation of APOBEC3G_Homo sapiens_R-HSA-180585","11/53",1e-07,3.22e-05,0,0,8.3018868,137.6375163,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;TCEB2;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"4","Reactome_2016","Degradation of DVL_Homo sapiens_R-HSA-4641258","11/56",1e-07,4.4e-05,0,0,7.8571429,125.5344105,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;DVL3;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"5","Reactome_2016","Infectious disease_Homo sapiens_R-HSA-5663205","27/348",2e-07,6.86e-05,0,0,3.1034483,47.5146137,"POM121;CCNT2;PSMD14;VPS4A;AP2A2;PSMA7;PSMD8;PSMB4;POLR2A;PSMB3;AP1G1;POLR2B;PSMB1;TCEB2;MAP2K7;B2M;KPNA1;SUPT5H;GTF2H5;RBX1;PSMA6;PSMA4;PACS1;PSMA2;VAMP1;NUP98;TAF1","http://www.reactome.org/download/index.html"
"6","Reactome_2016","Regulation of ornithine decarboxylase (ODC)_Homo sapiens_R-HSA-350562","10/50",4e-07,9.31e-05,0,0,8,118.5859031,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;OAZ1;PSMA7","http://www.reactome.org/download/index.html"
"7","Reactome_2016","PCP/CE pathway_Homo sapiens_R-HSA-4086400","13/91",4e-07,9.04e-05,0,0,5.7142857,83.9923787,"PSMD14;RYK;SMURF1;AP2A2;PSMA7;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;PSMB1;DVL3","http://www.reactome.org/download/index.html"
"8","Reactome_2016","ER-Phagosome pathway_Homo sapiens_R-HSA-1236974","11/65",6e-07,0.0001081,0,0,6.7692308,97.3842129,"PSMD8;SEC61A2;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;B2M;PSMA7","http://www.reactome.org/download/index.html"
"9","Reactome_2016","Degradation of AXIN_Homo sapiens_R-HSA-4641257","10/54",8e-07,0.0001322,0,0,7.4074074,104.2004442,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;TNKS;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"10","Reactome_2016","Antigen processing-Cross presentation_Homo sapiens_R-HSA-1236975","12/82",9e-07,0.0001353,0,0,5.8536585,81.5902226,"PSMD8;SEC61A2;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;CYBA;B2M;PSMA7","http://www.reactome.org/download/index.html"
"776","KEGG_2019_Human","Proteasome","9/45",1.4e-06,0.000435,0,0,8,107.7613544,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMB3;PSMA2;PSMB1;PSMA7","https://www.kegg.jp/"
"11","Reactome_2016","NIK-->noncanonical NF-kB signaling_Homo sapiens_R-HSA-5676590","10/58",1.6e-06,0.0002156,0,0,6.8965517,92.2552213,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;NFKB2","http://www.reactome.org/download/index.html"
"12","Reactome_2016","Degradation of GLI1 by the proteasome_Homo sapiens_R-HSA-5610780","10/59",1.8e-06,0.0002328,0,0,6.779661,89.5840578,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"13","Reactome_2016","GLI3 is processed to GLI3R by the proteasome_Homo sapiens_R-HSA-5610785","10/59",1.8e-06,0.0002148,0,0,6.779661,89.5840578,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"14","Reactome_2016","Degradation of GLI2 by the proteasome_Homo sapiens_R-HSA-5610783","10/59",1.8e-06,0.0001995,0,0,6.779661,89.5840578,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"15","Reactome_2016","Dectin-1 mediated noncanonical NF-kB signaling_Homo sapiens_R-HSA-5607761","10/61",2.5e-06,0.0002556,0,0,6.557377,84.5703861,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;NFKB2","http://www.reactome.org/download/index.html"
"16","Reactome_2016","Gene Expression_Homo sapiens_R-HSA-74160","71/1631",3e-06,0.0002845,0,0,1.741263,22.1579606,"LTV1;COX7B;POP7;CCNT2;CASC3;SRP14;MED15;PSMD8;SEC61A2;MED14;TRIM28;ZNF529;SNRNP70;AKT2;DGCR8;RBM5;NCOA2;H2AFZ;MED8;WDR75;CSNK1D;TSC1;THOC7;MED7;MED23;PSMA6;PSMA4;ZNF839;PSMA2;HNRNPH1;SARNP;PRPF3;NUP98;POM121;PSMD14;HEATR1;TXN;COX5A;NR2C1;PSMA7;PRDX5;PSMB4;ZNF708;MTA1;POLR2A;PSMB3;POLR2B;TAF1C;PSMB1;ZKSCAN8;ZNF548;TCEB2;RICTOR;ZNF500;YARS;SUPT5H;GTF2H5;ADAT2;PAN2;EIF3I;EIF3G;ZNF337;CDK12;LAMTOR1;ZNF655;RBMX;ZNF212;NOP10;TNRC6A;EIF3B;TAF1","http://www.reactome.org/download/index.html"
"17","Reactome_2016","Regulation of activated PAK-2p34 by proteasome mediated degradation_Homo sapiens_R-HSA-211733","9/49",3e-06,0.0002697,0,0,7.3469388,93.4386112,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"18","Reactome_2016","Cross-presentation of soluble exogenous antigens (endosomes)_Homo sapiens_R-HSA-1236978","9/49",3e-06,0.0002547,0,0,7.3469388,93.4386112,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"19","Reactome_2016","Asymmetric localization of PCP proteins_Homo sapiens_R-HSA-4608870","10/63",3.4e-06,0.0002735,0,0,6.3492063,79.955171,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;SMURF1;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"20","Reactome_2016","CDK-mediated phosphorylation and removal of Cdc6_Homo sapiens_R-HSA-69017","9/50",3.6e-06,0.0002734,0,0,7.2,90.300618,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"21","Reactome_2016","Ubiquitin-dependent degradation of Cyclin D1_Homo sapiens_R-HSA-69229","9/50",3.6e-06,0.0002604,0,0,7.2,90.300618,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"22","Reactome_2016","Ubiquitin-dependent degradation of Cyclin D_Homo sapiens_R-HSA-75815","9/50",3.6e-06,0.0002486,0,0,7.2,90.300618,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"23","Reactome_2016","Regulation of Apoptosis_Homo sapiens_R-HSA-169911","9/50",3.6e-06,0.0002378,0,0,7.2,90.300618,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"24","Reactome_2016","Vpu mediated degradation of CD4_Homo sapiens_R-HSA-180534","9/51",4.2e-06,0.0002706,0,0,7.0588235,87.3159662,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
