X1,Database_selected,Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,link
1,Reactome_2016,HIV Infection_Homo sapiens_R-HSA-162906,25/222,0,6e-7,0,0,4.5045045,97.8321015,POM121;CCNT2;PSMD14;VPS4A;AP2A2;PSMA7;PSMD8;PSMB4;POLR2A;PSMB3;AP1G1;POLR2B;PSMB1;TCEB2;B2M;KPNA1;SUPT5H;GTF2H5;RBX1;PSMA6;PSMA4;PACS1;PSMA2;NUP98;TAF1,http://www.reactome.org/download/index.html
2,Reactome_2016,Host Interactions of HIV factors_Homo sapiens_R-HSA-162909,18/129,0,2.8e-6,0,0,5.5813953,108.4305512,POM121;PSMD14;AP2A2;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;AP1G1;PACS1;PSMA2;PSMB3;PSMB1;TCEB2;NUP98;B2M;KPNA1,http://www.reactome.org/download/index.html
3,Reactome_2016,Vif-mediated degradation of APOBEC3G_Homo sapiens_R-HSA-180585,11/53,1e-7,3.22e-5,0,0,8.3018868,137.6375163,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;TCEB2;PSMA7;RBX1,http://www.reactome.org/download/index.html
4,Reactome_2016,Degradation of DVL_Homo sapiens_R-HSA-4641258,11/56,1e-7,4.4e-5,0,0,7.8571429,125.5344105,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;DVL3;PSMA7;RBX1,http://www.reactome.org/download/index.html
5,Reactome_2016,Infectious disease_Homo sapiens_R-HSA-5663205,27/348,2e-7,6.86e-5,0,0,3.1034483,47.5146137,POM121;CCNT2;PSMD14;VPS4A;AP2A2;PSMA7;PSMD8;PSMB4;POLR2A;PSMB3;AP1G1;POLR2B;PSMB1;TCEB2;MAP2K7;B2M;KPNA1;SUPT5H;GTF2H5;RBX1;PSMA6;PSMA4;PACS1;PSMA2;VAMP1;NUP98;TAF1,http://www.reactome.org/download/index.html
6,Reactome_2016,Regulation of ornithine decarboxylase (ODC)_Homo sapiens_R-HSA-350562,10/50,4e-7,9.31e-5,0,0,8,118.5859031,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;OAZ1;PSMA7,http://www.reactome.org/download/index.html
7,Reactome_2016,PCP/CE pathway_Homo sapiens_R-HSA-4086400,13/91,4e-7,9.04e-5,0,0,5.7142857,83.9923787,PSMD14;RYK;SMURF1;AP2A2;PSMA7;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;PSMB1;DVL3,http://www.reactome.org/download/index.html
8,Reactome_2016,ER-Phagosome pathway_Homo sapiens_R-HSA-1236974,11/65,6e-7,1.081e-4,0,0,6.7692308,97.3842129,PSMD8;SEC61A2;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;B2M;PSMA7,http://www.reactome.org/download/index.html
9,Reactome_2016,Degradation of AXIN_Homo sapiens_R-HSA-4641257,10/54,8e-7,1.322e-4,0,0,7.4074074,104.2004442,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;TNKS;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
10,Reactome_2016,Antigen processing-Cross presentation_Homo sapiens_R-HSA-1236975,12/82,9e-7,1.353e-4,0,0,5.8536585,81.5902226,PSMD8;SEC61A2;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;CYBA;B2M;PSMA7,http://www.reactome.org/download/index.html
776,KEGG_2019_Human,Proteasome,9/45,1.4e-6,4.35e-4,0,0,8,107.7613544,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMB3;PSMA2;PSMB1;PSMA7,https://www.kegg.jp/
11,Reactome_2016,NIK-->noncanonical NF-kB signaling_Homo sapiens_R-HSA-5676590,10/58,1.6e-6,2.156e-4,0,0,6.8965517,92.2552213,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;NFKB2,http://www.reactome.org/download/index.html
12,Reactome_2016,Degradation of GLI1 by the proteasome_Homo sapiens_R-HSA-5610780,10/59,1.8e-6,2.328e-4,0,0,6.779661,89.5840578,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1,http://www.reactome.org/download/index.html
13,Reactome_2016,GLI3 is processed to GLI3R by the proteasome_Homo sapiens_R-HSA-5610785,10/59,1.8e-6,2.148e-4,0,0,6.779661,89.5840578,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1,http://www.reactome.org/download/index.html
14,Reactome_2016,Degradation of GLI2 by the proteasome_Homo sapiens_R-HSA-5610783,10/59,1.8e-6,1.995e-4,0,0,6.779661,89.5840578,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1,http://www.reactome.org/download/index.html
15,Reactome_2016,Dectin-1 mediated noncanonical NF-kB signaling_Homo sapiens_R-HSA-5607761,10/61,2.5e-6,2.556e-4,0,0,6.557377,84.5703861,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;NFKB2,http://www.reactome.org/download/index.html
16,Reactome_2016,Gene Expression_Homo sapiens_R-HSA-74160,71/1631,3e-6,2.845e-4,0,0,1.741263,22.1579606,LTV1;COX7B;POP7;CCNT2;CASC3;SRP14;MED15;PSMD8;SEC61A2;MED14;TRIM28;ZNF529;SNRNP70;AKT2;DGCR8;RBM5;NCOA2;H2AFZ;MED8;WDR75;CSNK1D;TSC1;THOC7;MED7;MED23;PSMA6;PSMA4;ZNF839;PSMA2;HNRNPH1;SARNP;PRPF3;NUP98;POM121;PSMD14;HEATR1;TXN;COX5A;NR2C1;PSMA7;PRDX5;PSMB4;ZNF708;MTA1;POLR2A;PSMB3;POLR2B;TAF1C;PSMB1;ZKSCAN8;ZNF548;TCEB2;RICTOR;ZNF500;YARS;SUPT5H;GTF2H5;ADAT2;PAN2;EIF3I;EIF3G;ZNF337;CDK12;LAMTOR1;ZNF655;RBMX;ZNF212;NOP10;TNRC6A;EIF3B;TAF1,http://www.reactome.org/download/index.html
17,Reactome_2016,Regulation of activated PAK-2p34 by proteasome mediated degradation_Homo sapiens_R-HSA-211733,9/49,3e-6,2.697e-4,0,0,7.3469388,93.4386112,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
18,Reactome_2016,Cross-presentation of soluble exogenous antigens (endosomes)_Homo sapiens_R-HSA-1236978,9/49,3e-6,2.547e-4,0,0,7.3469388,93.4386112,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
19,Reactome_2016,Asymmetric localization of PCP proteins_Homo sapiens_R-HSA-4608870,10/63,3.4e-6,2.735e-4,0,0,6.3492063,79.955171000000007,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;SMURF1;PSMB1;PSMA7,http://www.reactome.org/download/index.html
20,Reactome_2016,CDK-mediated phosphorylation and removal of Cdc6_Homo sapiens_R-HSA-69017,9/50,3.6e-6,2.734e-4,0,0,7.2,90.300618,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
21,Reactome_2016,Ubiquitin-dependent degradation of Cyclin D1_Homo sapiens_R-HSA-69229,9/50,3.6e-6,2.604e-4,0,0,7.2,90.300618,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
22,Reactome_2016,Ubiquitin-dependent degradation of Cyclin D_Homo sapiens_R-HSA-75815,9/50,3.6e-6,2.486e-4,0,0,7.2,90.300618,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
23,Reactome_2016,Regulation of Apoptosis_Homo sapiens_R-HSA-169911,9/50,3.6e-6,2.378e-4,0,0,7.2,90.300618,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
24,Reactome_2016,Vpu mediated degradation of CD4_Homo sapiens_R-HSA-180534,9/51,4.2e-6,2.706e-4,0,0,7.0588235,87.3159662,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
25,Reactome_2016,Autodegradation of the E3 ubiquitin ligase COP1_Homo sapiens_R-HSA-349425,9/51,4.2e-6,2.598e-4,0,0,7.0588235,87.3159662,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
26,Reactome_2016,TNFR2 non-canonical NF-kB pathway_Homo sapiens_R-HSA-5668541,12/95,4.3e-6,2.559e-4,0,0,5.0526316,62.3772527,PSMD8;EDARADD;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;TNFRSF25;PSMA7;NFKB2,http://www.reactome.org/download/index.html
27,Reactome_2016,p53-Independent DNA Damage Response_Homo sapiens_R-HSA-69610,9/52,5e-6,2.845e-4,0,0,6.9230769,84.4745455,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
28,Reactome_2016,p53-Independent G1/S DNA damage checkpoint_Homo sapiens_R-HSA-69613,9/52,5e-6,2.744e-4,0,0,6.9230769,84.4745455,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
29,Reactome_2016,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A_Homo sapiens_R-HSA-69601,9/52,5e-6,2.649e-4,0,0,6.9230769,84.4745455,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
30,Reactome_2016,Activation of NF-kappaB in B cells_Homo sapiens_R-HSA-1169091,10/66,5.2e-6,2.674e-4,0,0,6.0606061,73.6890072,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;CARD11;PSMA7,http://www.reactome.org/download/index.html
31,Reactome_2016,Regulation of RAS by GAPs_Homo sapiens_R-HSA-5658442,10/67,6e-6,2.974e-4,0,0,5.9701493,71.7574383,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1,http://www.reactome.org/download/index.html
32,Reactome_2016,CLEC7A (Dectin-1) signaling_Homo sapiens_R-HSA-5607764,12/99,6.7e-6,3.213e-4,0,0,4.8484848,57.7473382,PYCARD;PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;CARD11;PSMA7;NFKB2,http://www.reactome.org/download/index.html
33,Reactome_2016,Hedgehog 'off' state_Homo sapiens_R-HSA-5610787,12/99,6.7e-6,3.116e-4,0,0,4.8484848,57.7473382,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;IFT172;PRKAR2A;PSMB1;PSMA7;RBX1,http://www.reactome.org/download/index.html
34,Reactome_2016,SCF-beta-TrCP mediated degradation of Emi1_Homo sapiens_R-HSA-174113,9/54,6.9e-6,3.124e-4,0,0,6.6666667,79.1850749,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
35,Reactome_2016,Stabilization of p53_Homo sapiens_R-HSA-69541,9/54,6.9e-6,3.035e-4,0,0,6.6666667,79.1850749,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
36,Reactome_2016,AUF1 (hnRNP D0) binds and destabilizes mRNA_Homo sapiens_R-HSA-450408,9/54,6.9e-6,2.951e-4,0,0,6.6666667,79.1850749,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
37,Reactome_2016,G2/M Transition_Homo sapiens_R-HSA-69275,16/173,7.5e-6,3.102e-4,0,0,3.699422,43.6542811,PSMD14;TUBGCP2;CSNK1D;HAUS5;CDK11B;PSMA7;PSMD8;PSMA6;PCM1;PSMB4;PSMA4;PSMA2;PSMB3;PSMB1;FGFR1OP;RAB8A,http://www.reactome.org/download/index.html
38,Reactome_2016,Hh mutants that don't undergo autocatalytic processing are degraded by ERAD_Homo sapiens_R-HSA-5362768,9/55,8.1e-6,3.269e-4,0,0,6.5454545,76.720681,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
39,Reactome_2016,Hedgehog 'on' state_Homo sapiens_R-HSA-5632684,11/85,8.6e-6,3.37e-4,0,0,5.1764706,60.3825817,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;SMURF1;PSMB1;PSMA7;RBX1,http://www.reactome.org/download/index.html
40,Reactome_2016,Mitotic G2-G2/M phases_Homo sapiens_R-HSA-453274,16/175,8.7e-6,3.323e-4,0,0,3.6571429,42.6191828,PSMD14;TUBGCP2;CSNK1D;HAUS5;CDK11B;PSMA7;PSMD8;PSMA6;PCM1;PSMB4;PSMA4;PSMA2;PSMB3;PSMB1;FGFR1OP;RAB8A,http://www.reactome.org/download/index.html
41,Reactome_2016,Class I MHC mediated antigen processing & presentation_Homo sapiens_R-HSA-983169,22/305,9.6e-6,3.565e-4,0,0,2.8852459,33.3497969,UBE2F;PSMD14;SMURF1;UBE4A;CYBA;FBXO44;PSMA7;RBX1;PSMD8;SEC61A2;PSMA6;PSMB4;PSMA4;HECTD1;HERC1;PSMA2;PSMB3;PSMB1;TCEB2;TPP2;B2M;UNKL,http://www.reactome.org/download/index.html
970,WikiPathways_2019_Human,Electron Transport Chain (OXPHOS system in mitochondria) WP111,12/103,1.02e-5,0.0047943,0,0,4.6601942,53.5796656,NDUFA9;COX7B;NDUFS8;NDUFB10;NDUFS7;NDUFB6;UCP3;NDUFA1;NDUFC2;UQCR11;UQCR10;COX5A,https://www.wikipathways.org/
42,Reactome_2016,Hh mutants abrogate ligand secretion_Homo sapiens_R-HSA-5387390,9/57,1.1e-5,4.004e-4,0,0,6.3157895,72.1164459,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
43,Reactome_2016,Respiratory electron transport_Homo sapiens_R-HSA-611105,11/88,1.2e-5,4.287e-4,0,0,5,56.6329502,NDUFA9;COX7B;NDUFS8;NDUFS7;NDUFB6;NDUFB10;NDUFA1;NDUFC2;UQCR11;UQCR10;COX5A,http://www.reactome.org/download/index.html
44,Reactome_2016,CDT1 association with the CDC6:ORC:origin complex_Homo sapiens_R-HSA-68827,9/58,1.27e-5,4.425e-4,0,0,6.2068966,69.9637981,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
45,Reactome_2016,The role of GTSE1 in G2/M progression after G2 checkpoint_Homo sapiens_R-HSA-8852276,9/59,1.47e-5,4.994e-4,0,0,6.1016949,67.9030563,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
